id,type,z,host_Z,p_sn,p_host,host_target,host_visits_needed_pfs,host_hours_needed_desi,host_hours_done,observed,host_completed
0,Ia,0.85045,999.000,0,-1,0,-1,-1.0,0.0,0,0
1,Ia,0.55766,22.899,2,2,1,3,12.6,14.0,0,1
2,Ia,0.28792,19.487,3,3,1,1,4.2,0.0,0,0
3,Ia,1.05364,22.099,5,5,1,1,4.2,6.0,0,1
4,Ia,0.97515,20.560,2,2,1,1,4.2,6.0,0,1
5,Ia,0.76193,21.973,3,3,1,1,4.2,6.0,0,1
6,Ia,0.49861,999.000,4,-1,0,-1,-1.0,0.0,0,0
7,Ia,1.04401,27.600,3,3,0,-1,-1.0,0.0,0,0
8,Ia,0.16169,22.891,3,3,1,3,12.6,14.0,1,1
9,Ia,0.69178,21.061,3,3,1,1,4.2,6.0,0,1
10,Ia,0.08923,19.802,0,0,1,1,4.2,6.0,1,1
11,Ia,0.63426,20.485,-1,-1,1,1,4.2,0.0,0,0
12,Ia,0.89073,21.901,0,0,1,1,4.2,6.0,0,1
13,Ia,0.56178,24.180,4,4,1,22,92.4,6.0,0,0
14,Ia,0.86705,23.394,0,0,1,6,25.2,0.0,0,0
15,Ia,0.46983,23.708,4,4,1,9,37.8,16.0,0,0
16,Ia,0.76189,25.207,-1,-1,1,139,583.8,0.0,0,0
17,Ia,0.52477,22.565,1,1,1,2,8.4,6.0,1,0
18,Ia,0.74147,21.459,1,1,1,1,4.2,6.0,1,1
19,Ia,0.43726,20.761,5,5,1,1,4.2,4.0,0,0
20,Ia,0.94215,25.931,4,4,0,-1,-1.0,0.0,0,0
21,Ia,1.06209,24.247,0,0,1,24,100.8,14.0,0,0
22,Ia,0.94927,25.694,0,0,0,-1,-1.0,0.0,0,0
23,Ia,0.40112,20.354,3,3,1,1,4.2,6.0,0,1
24,Ia,0.78681,20.407,1,1,1,1,4.2,6.0,0,1
25,Ia,0.57489,23.878,2,2,1,13,54.6,0.0,1,0
26,Ia,0.55522,19.995,1,1,1,1,4.2,6.0,0,1
27,Ia,0.50083,20.386,4,4,1,1,4.2,6.0,1,1
28,Ia,0.60507,22.166,2,2,1,1,4.2,6.0,0,1
29,Ia,0.59729,23.813,3,3,1,11,46.2,8.0,1,0
30,Ia,0.30448,26.107,4,4,0,-1,-1.0,0.0,1,0
31,Ia,0.68761,21.809,3,3,1,1,4.2,6.0,0,1
32,Ia,1.04980,22.122,5,5,1,1,4.2,0.0,0,0
33,Ia,0.63792,21.299,1,1,1,1,4.2,0.0,0,0
34,Ia,0.63042,25.059,1,1,1,107,449.4,14.0,0,0
35,Ia,0.68134,20.914,3,3,1,1,4.2,6.0,0,1
36,Ia,0.46990,21.985,3,3,1,1,4.2,6.0,0,1
37,Ia,0.73983,21.375,0,0,1,1,4.2,6.0,0,1
38,Ia,0.53550,999.000,1,-1,0,-1,-1.0,0.0,0,0
39,Ia,0.82922,20.985,2,2,1,1,4.2,6.0,1,1
40,Ia,0.58161,19.952,5,5,1,1,4.2,6.0,0,1
41,Ia,0.92797,23.963,4,4,1,15,63.0,8.0,0,0
42,Ia,1.04838,23.715,5,5,1,9,37.8,0.0,0,0
43,Ia,0.73843,22.780,4,4,1,2,8.4,10.0,0,1
44,Ia,0.49736,20.375,5,5,1,1,4.2,0.0,0,0
45,Ia,1.01356,23.605,4,4,1,8,33.6,10.0,0,0
46,Ia,0.65663,22.524,2,2,1,2,8.4,10.0,0,1
47,Ia,0.77233,26.552,0,0,0,-1,-1.0,0.0,0,0
48,Ia,0.69143,20.576,3,3,1,1,4.2,0.0,0,0
49,Ia,1.03737,22.590,3,3,1,2,8.4,10.0,0,1
50,Ia,0.93720,25.496,0,0,1,234,982.8,2.0,0,0
51,Ia,0.95919,999.000,1,-1,0,-1,-1.0,0.0,0,0
52,Ia,0.94664,23.085,4,4,1,3,12.6,4.0,0,0
53,Ia,0.78986,20.681,3,3,1,1,4.2,6.0,0,1
54,Ia,0.26518,24.057,3,3,1,17,71.4,6.0,1,0
55,Ia,0.70712,21.722,4,4,1,1,4.2,0.0,0,0
56,Ia,0.48274,22.107,3,3,1,1,4.2,6.0,0,1
57,Ia,0.83634,21.769,2,2,1,1,4.2,6.0,0,1
58,Ia,0.69882,23.303,4,4,1,5,21.0,12.0,0,0
59,Ia,1.15110,23.846,0,0,1,12,50.4,2.0,0,0
60,Ia,0.68409,21.183,1,1,1,1,4.2,6.0,0,1
61,Ia,0.76334,23.726,5,5,1,10,42.0,16.0,0,0
62,Ia,0.84104,21.497,5,5,1,1,4.2,6.0,0,1
63,Ia,0.43646,19.456,2,2,1,1,4.2,6.0,0,1
64,Ia,0.47121,28.146,2,2,0,-1,-1.0,0.0,0,0
65,Ia,0.65958,20.417,-1,-1,1,1,4.2,0.0,0,0
66,Ia,0.87747,27.119,0,0,0,-1,-1.0,0.0,1,0
67,Ia,0.95492,999.000,4,-1,0,-1,-1.0,0.0,0,0
68,Ia,0.97402,26.685,3,3,0,-1,-1.0,0.0,0,0
69,Ia,0.85588,23.780,4,4,1,11,46.2,12.0,0,0
70,Ia,0.78448,20.669,5,5,1,1,4.2,6.0,0,1
71,Ia,0.81393,24.220,4,4,1,23,96.6,14.0,0,0
72,Ia,0.59400,20.752,2,2,1,1,4.2,0.0,1,0
73,Ia,0.34125,22.031,3,3,1,1,4.2,6.0,1,1
74,Ia,0.77492,21.410,0,0,1,1,4.2,6.0,0,1
75,Ia,0.42754,23.170,5,5,1,4,16.8,16.0,0,0
76,Ia,0.89172,22.212,1,1,1,1,4.2,6.0,0,1
77,Ia,0.53894,21.114,3,3,1,1,4.2,0.0,0,0
78,Ia,0.67319,22.165,0,0,1,1,4.2,6.0,0,1
79,Ia,0.65039,21.583,4,4,1,1,4.2,2.0,1,0
80,Ia,0.69913,21.199,2,2,1,1,4.2,6.0,0,1
81,Ia,0.80142,21.813,2,2,1,1,4.2,6.0,0,1
82,Ia,0.99037,21.869,0,0,1,1,4.2,6.0,0,1
83,Ia,0.31681,21.426,5,5,1,1,4.2,6.0,0,1
84,Ia,0.78215,21.313,5,5,1,1,4.2,6.0,0,1
85,Ia,0.39999,21.857,3,3,1,1,4.2,6.0,1,1
86,Ia,0.91363,21.179,3,3,1,1,4.2,6.0,0,1
87,Ia,0.95648,24.369,3,3,1,31,130.2,4.0,0,0
88,Ia,0.84506,22.260,1,1,1,1,4.2,4.0,0,0
89,Ia,0.44876,20.772,3,3,1,1,4.2,2.0,1,0
90,Ia,0.55400,21.096,3,3,1,1,4.2,0.0,1,0
91,Ia,0.41879,22.266,3,3,1,1,4.2,6.0,0,1
92,Ia,0.58599,26.125,-1,-1,0,-1,-1.0,0.0,0,0
93,Ia,0.78266,22.585,1,1,1,2,8.4,10.0,0,1
94,Ia,0.69525,22.152,3,3,1,1,4.2,6.0,0,1
95,Ia,0.42546,18.876,3,3,1,1,4.2,0.0,1,0
96,Ia,0.65075,22.839,1,1,1,2,8.4,10.0,0,1
97,Ia,1.11449,23.946,2,2,1,14,58.8,8.0,0,0
98,Ia,0.52258,23.278,0,0,1,5,21.0,14.0,0,0
99,Ia,0.37070,19.876,3,3,1,1,4.2,2.0,1,0
100,Ia,0.99120,22.781,0,0,1,2,8.4,10.0,0,1
101,Ia,0.99234,21.850,3,3,1,1,4.2,6.0,0,1
102,Ia,0.51114,20.510,0,0,1,1,4.2,6.0,1,1
103,Ia,0.64800,21.176,4,4,1,1,4.2,6.0,1,1
104,Ia,0.32952,21.849,3,3,1,1,4.2,6.0,0,1
105,Ia,0.63391,23.535,2,2,1,7,29.4,8.0,1,0
106,Ia,0.59831,22.378,0,0,1,1,4.2,4.0,0,0
107,Ia,0.88443,26.674,1,1,0,-1,-1.0,0.0,0,0
108,Ia,0.60080,23.514,5,5,1,7,29.4,0.0,0,0
109,Ia,0.70662,22.201,4,4,1,1,4.2,0.0,0,0
110,Ia,0.76280,23.176,2,2,1,4,16.8,4.0,0,0
111,Ia,0.69380,21.466,2,2,1,1,4.2,0.0,0,0
112,Ia,0.81251,21.465,0,0,1,1,4.2,6.0,0,1
113,Ia,0.49931,23.327,2,2,1,5,21.0,16.0,1,0
114,Ia,0.47979,21.539,1,1,1,1,4.2,6.0,0,1
115,Ia,0.51612,21.518,1,1,1,1,4.2,6.0,1,1
116,Ia,0.94596,20.684,5,5,1,1,4.2,4.0,0,0
117,Ia,0.75290,20.477,1,1,1,1,4.2,4.0,0,0
118,Ia,0.69734,23.510,3,3,1,7,29.4,2.0,0,0
119,Ia,0.15942,25.795,4,4,0,-1,-1.0,0.0,0,0
120,Ia,0.52631,20.523,0,0,1,1,4.2,6.0,1,1
121,Ia,0.93263,22.266,4,4,1,1,4.2,4.0,0,0
122,Ia,0.73528,21.128,5,5,1,1,4.2,6.0,1,1
123,Ia,1.05503,21.482,0,0,1,1,4.2,6.0,0,1
124,Ia,0.85886,21.831,-1,-1,1,1,4.2,0.0,0,0
125,Ia,1.08336,22.751,1,1,1,2,8.4,4.0,1,0
126,Ia,0.61366,23.796,4,4,1,11,46.2,4.0,0,0
127,Ia,0.62585,20.000,0,0,1,1,4.2,6.0,1,1
128,Ia,0.26560,19.644,3,3,1,1,4.2,2.0,1,0
129,Ia,0.16798,18.766,0,0,1,1,4.2,6.0,0,1
