field,SNID,RA_deg,DEC_deg,z_cmb,peakmag_Z
ELAIS-N1,3048831,243.32291,54.74860,0.6863,26.589
ELAIS-N1,3049883,244.01951,56.13610,0.5208,25.097
ELAIS-N1,3100842,243.00000,55.14385,0.7939,26.283
ELAIS-N1,2367169,244.12612,54.95227,0.6723,25.872
ELAIS-N1,1302780,242.83383,54.80851,0.9564,26.658
ELAIS-N1,1992662,242.37463,54.59277,0.8032,27.153
ELAIS-N1,1623060,239.51805,54.97622,0.3798,24.392
ELAIS-N1,569812,245.31093,55.31140,0.3315,24.315
ELAIS-N1,3053524,241.32968,55.06005,0.6522,25.627
ELAIS-N1,2823647,243.36645,54.36491,0.5784,26.397
ELAIS-N1,748862,242.04997,54.94029,0.6026,25.886
ELAIS-N1,3229206,243.55515,55.40712,0.6171,25.310
ELAIS-N1,1133943,242.81674,54.07687,0.4656,26.039
ELAIS-N1,1383079,242.69646,54.55680,0.8855,27.172
ELAIS-N1,288824,242.65329,53.82464,0.8466,26.466
ELAIS-N1,103971,245.29858,55.63433,0.5445,25.739
ELAIS-N1,2069387,240.68026,54.42489,0.5827,25.828
ELAIS-N1,2291442,239.83712,54.73661,0.1902,23.279
ELAIS-N1,1743453,244.31665,53.80061,0.7423,25.751
ELAIS-N1,2966663,239.49735,55.03610,0.6325,25.381
ELAIS-N1,2339329,242.58070,55.14385,0.9922,25.352
ELAIS-N1,1644827,242.71229,55.16779,1.2588,26.724
ELAIS-N1,1649822,241.70237,53.66841,1.1344,26.081
ELAIS-N1,741069,239.42862,54.97622,0.4641,24.110
ELAIS-N1,1410803,243.50113,54.13690,1.1300,26.080
ELAIS-N1,2612915,241.46729,53.78859,0.8044,26.026
ELAIS-N1,2553474,242.48529,54.48485,0.5249,24.756
ELAIS-N1,2933880,243.62745,52.64516,0.8279,25.576
ELAIS-N1,2173530,240.27183,54.78455,0.5207,25.729
ELAIS-N1,3243288,241.89133,53.99281,0.4225,24.722
ELAIS-N1,2741548,243.33388,54.65271,1.4328,25.945
ELAIS-N1,2341866,242.63474,54.24492,0.7464,24.508
ELAIS-N1,3301430,242.54213,54.17291,1.0111,26.941
ELAIS-N1,2624404,243.81052,54.02884,0.8367,25.498
ELAIS-N1,2658386,239.68313,54.28092,0.9584,24.997
ELAIS-N1,2820855,242.20299,52.71749,1.0573,25.368
ELAIS-N1,590506,243.97187,54.08887,1.1493,25.805
ELAIS-N1,1485124,243.28170,53.63235,1.2716,25.916
ELAIS-N1,2643630,242.46313,54.59277,1.1440,26.280
ELAIS-N1,2126469,244.02840,56.12416,0.5989,25.021
ELAIS-N1,1461494,243.18182,54.37690,0.7724,26.226
ELAIS-N1,2526459,243.77633,55.31140,0.4320,24.200
ELAIS-N1,1139067,240.90865,53.76456,0.4491,24.298
ELAIS-N1,1717855,244.64728,53.43995,0.5402,25.575
ELAIS-N1,3086675,243.85174,54.05285,1.3079,26.437
ELAIS-N1,1217096,244.44251,53.31964,0.5566,25.144
ELAIS-N1,2271507,243.88962,54.78455,0.9702,26.331
ELAIS-N1,2689934,244.48500,55.20370,0.7377,24.806
ELAIS-N1,826859,244.65325,55.72996,0.8352,25.646
ELAIS-N1,2444508,242.93395,53.59628,1.2004,25.862
ELAIS-N1,915338,242.25143,53.54818,1.5055,26.085
ELAIS-N1,2253670,240.35175,53.84867,0.8477,24.915
ELAIS-N1,1956857,241.26259,54.28092,0.4860,24.540
ELAIS-N1,409301,241.40359,53.11503,0.4337,24.294
ELAIS-N1,366993,245.01312,54.61675,0.8125,25.329
ELAIS-N1,1359383,240.12152,54.17291,0.3949,24.810
ELAIS-N1,2559970,242.01792,54.36491,0.9803,26.034
ELAIS-N1,1015932,243.54117,56.07640,0.3630,23.404
ELAIS-N1,50019,244.60426,55.11991,0.9308,25.449
ELAIS-N1,1712578,241.55325,54.70066,1.0723,26.019
ELAIS-N1,2726015,240.92973,55.00017,0.2034,22.889
ELAIS-N1,1351752,242.83213,54.53282,1.1862,26.126
ELAIS-N1,1747123,245.68073,53.65639,0.7041,25.462
ELAIS-N1,1169227,242.42560,54.91633,1.0477,26.071
ELAIS-N1,2118756,244.42027,55.08399,0.7783,25.485
ELAIS-N1,943284,241.37211,56.43445,0.3921,24.250
ELAIS-N1,2758778,243.45748,53.66841,0.9378,26.349
ELAIS-N1,1352933,240.51007,54.85644,0.8381,25.682
ELAIS-N1,1245556,239.19859,55.49084,0.3949,24.672
ELAIS-N1,558370,242.60804,55.65824,0.6736,25.743
ELAIS-N1,3340565,243.28442,53.99281,0.5647,27.165
ELAIS-N1,2319665,243.25205,53.06687,0.2357,25.642
ELAIS-N1,2565495,243.76034,56.39866,0.2013,25.307
ELAIS-N1,3235389,241.07903,55.67019,0.2789,25.364
ELAIS-N1,2169537,239.06708,54.35291,0.7748,24.767
ELAIS-N1,1606576,242.86471,56.07640,0.6841,25.159
ELAIS-N1,1218063,241.72566,54.59277,0.5519,23.918
ELAIS-N1,1571723,243.77739,53.41589,0.7965,24.772
ELAIS-N1,2350954,240.08258,54.14890,0.8986,25.160
ELAIS-N1,888687,244.74175,54.49685,0.6335,25.165
ELAIS-N1,3197487,242.22032,52.69338,0.6684,25.006
ELAIS-N1,1026164,245.78642,54.96424,0.7013,24.986
ELAIS-N1,423946,242.55544,55.49084,0.6577,25.117
ELAIS-N1,1629819,242.62363,55.04807,1.9737,26.407
ELAIS-N1,949486,241.96697,55.23961,1.3906,25.907
ELAIS-N1,1895949,239.91793,53.92075,0.6280,25.215
ELAIS-N1,616072,242.51573,53.06687,0.6368,25.314
ELAIS-N1,1623085,241.36633,54.71264,0.7267,25.740
ELAIS-N1,2625824,244.78106,55.84946,0.8995,25.555
ELAIS-N1,1513249,241.93694,55.23961,0.5587,25.385
ELAIS-N1,1572084,241.93911,54.35291,0.7618,25.224
ELAIS-N1,2223026,243.54480,56.11222,0.7923,25.313
ELAIS-N1,1594811,244.41315,53.06687,0.8104,25.486
ELAIS-N1,2233089,243.76833,54.37690,0.6939,25.219
ELAIS-N1,2753667,241.06932,54.67669,0.6479,25.274
ELAIS-N1,1822251,243.38298,54.54481,1.2845,26.212
ELAIS-N1,3340836,245.55609,53.98080,0.5298,24.098
ELAIS-N1,1352839,243.45170,53.18726,1.2775,25.033
ELAIS-N1,3221045,241.43202,53.87270,1.3737,25.598
ELAIS-N1,1326366,241.42880,53.53616,0.8250,25.559
ELAIS-N1,284132,242.08448,56.39866,0.7556,25.355
ELAIS-N1,1715652,243.67298,53.81263,0.7906,25.608
ELAIS-N1,1594712,242.26608,54.26892,1.3436,25.797
ELAIS-N1,1624467,242.86701,53.84867,0.9315,25.539
ELAIS-N1,748746,240.47867,55.47888,0.2904,23.631
ELAIS-N1,2231964,245.29502,55.81361,0.9325,25.805
ELAIS-N1,2798376,242.40291,54.12489,1.4830,25.951
ELAIS-N1,332063,244.57433,55.11991,0.3605,23.528
ELAIS-N1,2671129,242.64706,55.09596,1.5613,25.965
ELAIS-N1,2061879,241.76332,53.12707,0.6130,25.190
ELAIS-N1,2473891,240.79885,55.82556,1.1987,25.061
ELAIS-N1,2297793,242.09883,54.41289,0.9686,25.556
ELAIS-N1,770415,241.47549,53.01870,0.9068,25.691
ELAIS-N1,2045938,243.76226,54.50884,1.2199,25.849
ELAIS-N1,2403703,241.03700,54.23292,0.5923,24.901
ELAIS-N1,1642450,240.94228,53.57223,1.0773,25.416
ELAIS-N1,102824,241.82032,52.93439,0.6098,24.701
ELAIS-N1,690756,244.54236,54.23292,0.6562,24.760
ELAIS-N1,903937,241.69259,54.94029,1.6342,26.091
ELAIS-N1,157107,241.99040,54.94029,1.6739,26.567
ELAIS-N1,3217678,243.86646,56.42252,0.3857,24.774
ELAIS-N1,2948320,242.05084,53.19930,0.5695,25.327
ELAIS-N1,259022,241.79881,54.88040,0.8303,25.197
ELAIS-N1,2348964,241.58857,52.78980,0.2584,23.628
ELAIS-N1,2297099,245.78820,53.98080,0.3624,24.893
ELAIS-N1,592102,243.54770,54.72463,0.7206,25.346
ELAIS-N1,1101923,242.95794,52.68133,0.8283,25.044
ELAIS-N1,2752642,242.57678,53.69245,1.3280,25.996
ELAIS-N1,1530714,241.51471,54.48485,0.7397,25.734
ELAIS-N1,2685792,244.09360,54.66470,0.4794,24.917
ELAIS-N1,344160,241.68557,56.27934,0.7364,25.564
ELAIS-N1,2741677,245.71637,54.26892,0.2923,24.310
ELAIS-N1,1598948,242.19381,54.36491,0.6140,26.958
ELAIS-N1,1184591,242.28528,55.99280,0.3910,25.613
ELAIS-N1,1825320,241.96165,54.59277,0.9515,26.952
ELAIS-N1,865201,243.39427,54.77256,0.7228,26.593
ELAIS-N1,253055,245.00498,55.06005,0.9858,26.339
ELAIS-N1,2017186,244.29178,53.07891,0.5090,25.925
ELAIS-N1,1296944,245.08264,54.90435,0.4306,25.546
ELAIS-N1,1007787,243.29281,56.15997,0.3529,24.875
ELAIS-N1,680681,241.89597,55.78971,0.5290,25.655
ELAIS-N1,2533910,240.75291,54.14890,0.4832,25.900
ELAIS-N1,211928,241.41500,53.93276,0.5424,25.916
ELAIS-N1,2366375,241.92295,54.60476,0.6921,26.099
ELAIS-N1,2474829,242.03251,53.92075,0.8423,26.832
ELAIS-N1,1808528,245.47787,55.41908,0.7795,26.256
ELAIS-N1,322694,240.44448,54.35291,0.3666,25.004
ELAIS-N1,3343271,241.67583,56.29127,0.7087,26.239
ELAIS-N1,2862438,241.83328,53.99281,0.8143,25.595
ELAIS-N1,1010858,242.99701,55.10794,1.0651,25.046
ELAIS-N1,1267346,241.71471,54.98820,1.2983,26.497
ELAIS-N1,2549617,243.67116,54.67669,2.5699,27.171
ELAIS-N1,1018335,242.77848,53.17522,0.1869,22.587
ELAIS-N1,2998049,241.86939,55.09596,0.8386,25.094
ELAIS-N1,2606379,242.35736,55.23961,0.3822,23.540
ELAIS-N1,1980087,242.71383,53.46400,0.6930,25.367
ELAIS-N1,1521299,240.97903,55.71800,0.7635,24.892
ELAIS-N1,756298,243.64891,54.25692,1.3768,27.163
ELAIS-N1,1429980,243.12721,53.84867,0.8382,25.264
ELAIS-N1,962999,246.15073,54.18491,0.8879,25.451
ELAIS-N1,1631663,242.40999,55.87335,0.5725,25.147
ELAIS-N1,1598352,244.23040,53.54818,0.5888,24.826
ELAIS-N1,655288,242.51541,54.20891,0.7390,24.995
ELAIS-N1,2355653,242.87295,53.80061,0.8372,25.509
ELAIS-N1,940462,244.59114,54.07687,0.1513,22.135
ELAIS-N1,824689,239.68860,53.63235,0.2421,22.799
ELAIS-N1,1876649,241.80115,53.72851,0.3498,24.551
ELAIS-N1,164276,242.16360,54.01683,0.5516,25.358
ELAIS-N1,1951244,241.82695,53.27151,0.4590,23.850
ELAIS-N1,2716843,241.90864,55.08399,0.8288,26.228
ELAIS-N1,3100685,240.47807,53.17522,0.5874,25.433
ELAIS-N1,262650,243.75583,52.62105,0.6741,25.331
ELAIS-N1,943117,242.85829,53.86068,1.0462,26.650
ELAIS-N1,69493,243.66100,53.78859,1.6116,26.606
ELAIS-N1,988399,239.72781,54.83247,0.9629,25.675
ELAIS-N1,2636683,241.44455,54.19691,1.1535,25.926
ELAIS-N1,3263168,242.48589,55.07202,0.8738,25.397
ELAIS-N1,1633601,239.05414,54.85644,0.8418,25.226
ELAIS-N1,2060024,240.87739,52.83800,0.6866,24.966
ELAIS-N1,2806225,243.79618,54.17291,1.3206,25.949
ELAIS-N1,1174029,240.85446,54.76058,1.1956,25.215
ELAIS-N1,3272850,242.81639,53.56021,1.3016,26.110
ELAIS-N1,3207334,241.14329,55.77776,0.5915,25.294
ELAIS-N1,461380,244.02751,53.25947,0.6256,24.734
ELAIS-N1,1365952,242.93738,54.98820,1.0226,26.196
ELAIS-N1,2394342,241.65000,54.00482,0.9677,25.508
ELAIS-N1,2906026,242.97035,54.78455,1.7143,26.658
ELAIS-N1,3179153,243.41961,53.88471,1.8145,26.936
ELAIS-N1,131111,240.72163,55.03610,0.5120,23.818
ELAIS-N1,1299875,241.77593,54.41289,0.5781,24.965
ELAIS-N1,285905,242.11288,54.31692,0.6279,24.751
ELAIS-N1,69343,243.03223,54.34091,1.1666,26.445
ELAIS-N1,44074,241.91729,54.49685,1.2819,26.151
ELAIS-N1,721409,242.90832,55.86140,0.5158,24.493
ELAIS-N1,2302024,241.01423,54.11289,0.8278,25.191
ELAIS-N1,3036797,243.05043,54.79653,0.7430,24.710
ELAIS-N1,1274795,244.78310,54.13690,1.0260,25.633
ELAIS-N1,2566167,244.93868,53.04278,0.4389,24.769
ELAIS-N1,2930955,240.74200,54.08887,0.7325,26.266
ELAIS-N1,2485741,241.51917,54.59277,0.7755,25.744
ELAIS-N1,164442,240.28997,54.58078,1.1500,25.761
ELAIS-N1,1572803,243.34683,54.14890,1.4809,26.709
ELAIS-N1,1048044,240.58024,53.66841,0.3579,23.792
ELAIS-N1,1710503,240.86797,53.66841,0.9539,25.769
ELAIS-N1,2187646,243.04650,54.04085,1.2399,26.276
ELAIS-N1,2035641,241.99836,54.54481,0.6604,25.248
ELAIS-N1,2612776,243.96378,53.10299,0.2321,22.419
ELAIS-N1,2073948,241.94980,55.10794,1.1086,25.210
ELAIS-N1,197677,243.14612,54.98820,1.6270,27.014
ELAIS-N1,2233317,244.24305,53.23540,0.6809,25.251
ELAIS-N1,2908544,242.71711,54.17291,1.1568,25.970
ELAIS-N1,398395,240.85729,55.71800,0.3601,23.587
ELAIS-N1,3108024,240.10846,53.03074,0.7427,24.701
ELAIS-N1,1674269,242.50641,53.78859,0.8118,25.553
ELAIS-N1,1869624,242.41509,54.46087,1.0999,26.290
ELAIS-N1,1838140,241.79980,55.29944,1.4966,26.808
ELAIS-N1,2081751,241.62787,54.60476,1.3016,26.146
ELAIS-N1,2418753,241.92647,54.48485,0.5408,25.236
ELAIS-N1,255296,241.17464,54.58078,0.9339,27.048
ELAIS-N1,1363396,242.71167,54.49685,1.8338,27.321
ELAIS-N1,2850732,243.85154,52.64516,0.5146,24.437
ELAIS-N1,2415238,243.63592,54.52083,0.4494,23.488
ELAIS-N1,226312,243.86494,53.62033,0.5781,24.450
ELAIS-N1,582996,242.38262,55.16779,1.1475,26.083
ELAIS-N1,1699790,241.67760,54.61675,0.5271,25.160
ELAIS-N1,2759273,242.38892,52.85005,0.5416,25.289
ELAIS-N1,586362,243.57097,53.75254,0.8203,25.032
ELAIS-N1,784021,243.29888,55.78971,0.5429,25.709
ELAIS-N1,2401185,242.94652,54.85644,1.0984,27.203
ELAIS-N1,93970,243.61586,52.62105,0.2525,24.062
ELAIS-N1,2909423,244.59529,56.06446,0.2801,24.361
ELAIS-N1,942184,240.54199,54.34091,0.5829,25.078
ELAIS-N1,2813662,242.68066,54.34091,1.5227,26.930
ELAIS-N1,1720663,242.17456,54.70066,0.8024,26.805
ELAIS-N1,2151606,241.41375,55.93308,0.3927,25.393
ELAIS-N1,822657,245.81851,54.11289,0.2722,23.907
ELAIS-N1,610553,243.32414,54.22092,0.4437,25.256
ELAIS-N1,2906944,241.33124,54.83247,1.5343,26.876
ELAIS-N1,2669563,242.29543,53.95678,0.8052,26.866
ELAIS-N1,1891326,245.49869,54.50884,0.6998,26.366
ELAIS-N1,1392195,242.45241,55.89724,0.1753,23.722
ELAIS-N1,872737,243.82500,55.20370,0.3322,25.176
ELAIS-N1,893101,242.68488,54.53282,0.8501,26.315
ELAIS-N1,713061,243.95428,54.19691,0.8315,26.643
ELAIS-N1,2141328,239.98503,55.13188,0.5785,25.892
ELAIS-N1,3231492,239.35306,55.31140,0.4553,25.387
ELAIS-N1,2512547,239.83680,54.80851,0.5553,25.863
ELAIS-N1,1997696,243.12541,54.17291,0.8875,27.002
ELAIS-N1,2250293,241.59384,54.95227,0.5775,26.440
ELAIS-N1,178630,242.57529,52.54869,0.4045,25.058
ELAIS-N1,517901,240.82828,53.60830,0.4338,25.261
ELAIS-N1,2038876,244.10978,53.05482,0.7240,26.269
ELAIS-N1,1827036,241.13467,55.82556,0.7759,26.464
ELAIS-N1,1909014,243.74513,54.24492,0.5343,26.420
ELAIS-N1,2129769,241.23668,52.92234,0.4151,25.878
ELAIS-N1,598455,240.06140,53.09095,0.2941,24.287
ELAIS-N1,578644,242.62048,53.35574,0.4534,26.230
ELAIS-N1,2149806,242.66217,54.76058,0.9878,27.203
ELAIS-N1,309238,244.31369,55.35926,0.4691,25.417
ELAIS-N1,727078,243.39981,54.19691,1.0814,26.779
ELAIS-N1,343311,242.46289,52.39188,0.6687,25.012
ELAIS-N1,2655842,239.76012,54.43688,0.7878,25.639
ELAIS-N1,3194389,243.15553,55.09596,0.6765,25.365
ELAIS-N1,1973766,241.76733,54.84446,0.9841,26.689
ELAIS-N1,461012,243.09053,54.22092,0.9318,26.310
ELAIS-N1,1478923,241.59194,54.00482,0.6937,25.189
ELAIS-N1,586639,243.19623,54.88040,0.8854,26.212
ELAIS-N1,2715732,245.55465,54.42489,0.5581,25.035
ELAIS-N1,2666793,241.43340,53.90874,0.7632,25.508
ELAIS-N1,1302710,241.81303,54.17291,2.1227,26.103
ELAIS-N1,825695,241.19103,55.08399,0.4734,24.415
ELAIS-N1,2061457,240.27142,56.05252,0.5309,25.201
ELAIS-N1,1414343,242.91396,56.05252,0.7941,25.731
ELAIS-N1,1959353,242.59816,53.30761,0.3960,24.836
ELAIS-N1,391212,243.24440,53.19930,0.5593,24.702
ELAIS-N1,2957410,243.27319,55.62237,0.9475,25.328
ELAIS-N1,550178,244.62449,53.17522,1.3660,25.481
ELAIS-N1,1047638,245.60519,53.72851,0.2797,24.257
ELAIS-N1,1710687,245.12743,53.53616,0.5410,25.084
ELAIS-N1,2075608,240.83857,54.92831,0.4081,24.955
ELAIS-N1,942947,243.61357,54.59277,2.1887,26.331
ELAIS-N1,253624,242.45780,54.95227,1.2318,25.814
ELAIS-N1,605840,240.26624,55.37123,0.3819,25.100
ELAIS-N1,308960,243.51312,54.16090,0.9729,25.626
ELAIS-N1,781368,242.31326,53.93276,1.7152,25.626
ELAIS-N1,3187501,242.81344,55.31140,1.0602,26.128
ELAIS-N1,3250772,239.10867,54.65271,0.2598,22.861
ELAIS-N1,2767368,241.94592,55.03610,0.7059,25.783
ELAIS-N1,2196109,245.35191,54.37690,0.7733,25.773
ELAIS-N1,868040,243.31064,53.30761,0.8233,25.448
ELAIS-N1,2138112,239.94700,53.84867,0.7002,25.173
ELAIS-N1,1419585,243.83826,55.51476,1.0789,26.015
ELAIS-N1,3152698,239.49761,53.58426,0.4692,24.744
ELAIS-N1,2150179,243.45817,54.19691,0.9843,26.278
ELAIS-N1,2618057,244.02320,54.47286,0.9953,26.415
ELAIS-N1,1263679,242.68914,54.72463,0.8056,26.151
ELAIS-N1,164697,241.73964,55.29944,0.4925,24.316
ELAIS-N1,3121081,242.55693,55.37123,1.0862,26.344
ELAIS-N1,2908117,243.40312,54.23292,0.5695,24.877
ELAIS-N1,928057,244.11774,54.00482,0.5216,25.027
ELAIS-N1,178246,241.56310,53.54818,0.6259,24.838
ELAIS-N1,2245781,242.56200,52.48839,0.5171,25.309
ELAIS-N1,2316499,242.65086,55.01215,0.5055,24.819
ELAIS-N1,23198,240.64347,53.43995,1.7187,25.609
ELAIS-N1,674973,240.24932,55.82556,0.7428,25.622
ELAIS-N1,306076,244.63077,54.31692,0.4399,24.898
ELAIS-N1,1885550,245.01515,55.56259,0.7447,25.908
ELAIS-N1,1126005,244.03956,53.28354,0.4148,25.145
ELAIS-N1,2664753,241.15234,54.49685,1.0049,26.241
ELAIS-N1,1509392,243.65323,54.00482,0.2526,23.559
ELAIS-N1,3044095,241.33017,54.53282,0.7928,25.442
ELAIS-N1,3265016,241.78779,54.05285,0.9850,25.520
ELAIS-N1,2613134,243.17062,53.22337,0.5182,24.812
ELAIS-N1,2364436,245.69156,55.37123,0.8180,25.155
ELAIS-N1,1296672,245.44798,53.83666,0.5705,25.295
ELAIS-N1,1429561,242.72599,52.97052,0.4969,24.969
ELAIS-N1,801556,239.68189,54.42489,0.3711,24.336
ELAIS-N1,1300643,240.12554,55.35926,0.7517,25.394
ELAIS-N1,813711,241.90223,54.01683,1.4626,26.387
ELAIS-N1,3189185,242.11500,55.20370,0.9632,26.998
ELAIS-N1,647770,244.87072,55.46692,1.0269,25.358
ELAIS-N1,406089,240.40059,54.80851,0.7529,25.328
ELAIS-N1,811218,243.47790,54.82049,0.9102,26.573
ELAIS-N1,1477339,239.50942,54.88040,1.1293,26.043
ELAIS-N1,480429,241.93344,54.24492,0.9076,26.619
ELAIS-N1,2171078,242.51376,56.32707,0.5250,25.379
