field,SNID,RA_deg,DEC_deg,z_cmb,peakmag_Z
ELAIS-N1,2291442,239.83712,54.73661,0.1902,23.279
ELAIS-N1,1015932,243.54117,56.07640,0.3630,23.404
ELAIS-N1,2726015,240.92973,55.00017,0.2034,22.889
ELAIS-N1,1218063,241.72566,54.59277,0.5519,23.918
ELAIS-N1,748746,240.47867,55.47888,0.2904,23.631
ELAIS-N1,332063,244.57433,55.11991,0.3605,23.528
ELAIS-N1,2348964,241.58857,52.78980,0.2584,23.628
ELAIS-N1,1018335,242.77848,53.17522,0.1869,22.587
ELAIS-N1,2606379,242.35736,55.23961,0.3822,23.540
ELAIS-N1,940462,244.59114,54.07687,0.1513,22.135
ELAIS-N1,824689,239.68860,53.63235,0.2421,22.799
ELAIS-N1,1951244,241.82695,53.27151,0.4590,23.850
ELAIS-N1,131111,240.72163,55.03610,0.5120,23.818
ELAIS-N1,1048044,240.58024,53.66841,0.3579,23.792
ELAIS-N1,2612776,243.96378,53.10299,0.2321,22.419
ELAIS-N1,398395,240.85729,55.71800,0.3601,23.587
ELAIS-N1,2415238,243.63592,54.52083,0.4494,23.488
ELAIS-N1,822657,245.81851,54.11289,0.2722,23.907
ELAIS-N1,1392195,242.45241,55.89724,0.1753,23.722
ELAIS-N1,3250772,239.10867,54.65271,0.2598,22.861
ELAIS-N1,1509392,243.65323,54.00482,0.2526,23.559
ELAIS-N1,537652,241.68220,55.14385,0.2454,23.075
ELAIS-N1,738107,242.65337,55.99280,0.2462,23.802
ELAIS-N1,335284,244.17222,55.17976,0.2536,23.767
ELAIS-N1,155224,241.72782,53.59628,0.5032,23.609
ELAIS-N1,891915,245.13544,54.43688,0.3477,23.390
ELAIS-N1,2467633,244.42435,55.03610,0.4112,23.392
ELAIS-N1,886002,240.74537,56.18385,0.2495,23.266
ELAIS-N1,2438234,243.25639,54.55680,0.3999,23.891
ELAIS-N1,1663614,244.92219,54.96424,0.2304,23.101
ELAIS-N1,1320899,245.45847,53.64437,0.3962,23.343
ELAIS-N1,2597692,239.38548,54.00482,0.2328,22.753
ELAIS-N1,2906530,242.27628,52.85005,0.4668,23.952
ELAIS-N1,634070,244.64552,55.82556,0.3049,23.030
ELAIS-N1,1815852,245.20408,54.16090,0.4516,22.905
ELAIS-N1,2393508,241.59512,54.30492,0.4782,23.928
ELAIS-N1,541343,242.55431,53.64437,0.4392,23.585
ELAIS-N1,910933,242.52681,56.50602,0.2288,22.471
ELAIS-N1,2544009,241.76993,52.65721,0.3004,23.211
ELAIS-N1,2687899,244.49341,52.94643,0.3435,23.436
ELAIS-N1,1311955,241.47661,54.26892,0.4207,23.955
ELAIS-N1,285368,242.56522,53.94477,0.3487,23.161
ELAIS-N1,3139465,242.72260,52.65721,0.2068,22.765
ELAIS-N1,3308793,241.74984,53.45197,0.4031,23.935
ELAIS-N1,1803266,244.62243,53.86068,0.3646,23.947
ELAIS-N1,1154138,244.32386,52.77775,0.2142,23.697
ELAIS-N1,2206599,244.58770,55.69410,0.3812,23.515
ELAIS-N1,2713737,245.56242,55.25157,0.3061,23.486
ELAIS-N1,652574,240.49535,53.77658,0.3227,23.442
ELAIS-N1,635439,245.63942,53.76456,0.8404,23.451
ELAIS-N1,1537591,244.33270,53.43995,0.3163,23.494
ELAIS-N1,1557502,240.36344,53.06687,1.0055,23.224
ELAIS-N1,1867968,240.42247,53.28354,0.3269,22.709
ELAIS-N1,1366048,241.89429,52.71749,2.2198,23.960
ELAIS-N1,2762064,241.40594,55.22764,0.5123,21.200
ELAIS-N1,3267480,240.52408,53.07891,2.2518,23.663
ELAIS-N1,330216,241.67971,55.94503,0.9786,23.797
ELAIS-N1,3314611,243.79327,53.76456,0.6545,22.475
ELAIS-N1,2604104,241.51725,55.72996,1.3609,22.970
ELAIS-N1,3328339,245.32588,54.19691,0.4159,22.357
ELAIS-N1,3076484,240.97686,54.90435,1.4080,22.696
ELAIS-N1,2608713,243.41804,55.55063,0.7293,23.178
ELAIS-N1,1297506,242.28049,56.07640,0.4408,22.689
ELAIS-N1,775974,241.32866,56.11222,1.2634,23.958
ELAIS-N1,652799,241.57820,53.22337,0.5244,22.467
ELAIS-N1,2707240,240.53538,53.21133,1.3686,23.649
ELAIS-N1,2000199,242.71582,55.47888,1.0046,22.299
ELAIS-N1,666924,241.39831,52.97052,0.2881,22.981
ELAIS-N1,202567,244.57027,54.06486,0.8199,23.184
ELAIS-N1,1281041,242.61678,53.43995,1.3790,23.540
ELAIS-N1,2756699,242.46841,53.21133,0.3614,22.223
ELAIS-N1,2940014,240.61195,53.25947,1.9427,23.526
ELAIS-N1,2864577,244.22727,52.92234,1.5914,23.572
ELAIS-N1,2215587,242.14640,54.89238,1.5593,23.278
ELAIS-N1,371399,242.43982,56.30320,0.5828,22.915
ELAIS-N1,536933,245.95831,54.07687,1.2639,22.827
ELAIS-N1,2066783,240.98461,52.99461,1.1519,23.167
ELAIS-N1,1050301,239.30644,53.57223,0.6418,23.385
ELAIS-N1,378428,242.88969,53.01870,0.7812,23.676
ELAIS-N1,2615160,241.49095,53.41589,1.9732,23.822
ELAIS-N1,1355457,242.88611,54.22092,1.2186,23.515
ELAIS-N1,1061719,243.35101,56.12416,0.5470,23.017
ELAIS-N1,1033220,241.25740,54.70066,0.9477,22.835
ELAIS-N1,2712482,240.21287,53.15115,1.0195,23.594
ELAIS-N1,2618209,243.49480,55.40712,2.2743,23.470
ELAIS-N1,3001761,243.38957,55.99280,0.5494,20.452
ELAIS-N1,330649,243.39489,53.18726,0.9906,23.373
ELAIS-N1,211793,245.73214,54.24492,1.0070,22.571
ELAIS-N1,2149463,241.56139,53.96879,1.5009,23.576
ELAIS-N1,3672,242.27197,55.15582,1.7989,23.662
ELAIS-N1,2943176,242.64451,53.83666,1.0478,23.543
ELAIS-N1,1518295,244.26182,55.68215,0.7923,23.267
ELAIS-N1,2008012,243.77036,53.63235,0.7966,23.753
ELAIS-N1,155721,243.50016,53.19930,0.8034,22.789
ELAIS-N1,145073,239.24398,53.82464,1.3684,23.381
ELAIS-N1,1958532,244.68937,55.08399,1.3888,22.715
ELAIS-N1,2743636,239.41261,53.51211,0.6261,22.847
ELAIS-N1,717891,242.59445,56.57758,0.9805,23.608
ELAIS-N1,1461656,242.14566,54.54481,0.6748,22.905
ELAIS-N1,1686237,243.22785,54.23292,1.9649,22.813
ELAIS-N1,2153099,243.38806,55.02412,1.0046,23.489
ELAIS-N1,2127822,242.97346,54.58078,1.4561,23.283
ELAIS-N1,300769,244.73557,53.99281,0.8566,23.491
ELAIS-N1,317633,239.36074,55.44300,0.6394,23.565
ELAIS-N1,298828,242.87286,54.67669,0.6019,22.867
ELAIS-N1,2039098,243.13623,53.15115,0.8088,21.486
ELAIS-N1,3151964,243.39351,54.97622,0.6972,23.013
ELAIS-N1,1380509,243.82776,55.32337,0.9292,23.895
ELAIS-N1,202241,243.57971,53.94477,1.2492,23.969
ELAIS-N1,1298107,242.10858,55.94503,1.6792,23.664
ELAIS-N1,859799,242.42319,54.88040,0.9646,22.945
ELAIS-N1,234904,242.41885,56.44638,0.4860,23.476
ELAIS-N1,181166,242.95173,55.40712,0.9409,22.740
ELAIS-N1,1787845,241.06717,54.94029,0.6473,23.826
ELAIS-N1,1317828,239.77088,54.28092,0.3545,23.058
ELAIS-N1,2942690,243.70838,55.52672,0.5478,23.832
ELAIS-N1,2354751,240.92239,54.71264,0.3194,23.593
ELAIS-N1,1538925,245.72368,53.81263,0.6439,22.615
ELAIS-N1,811686,243.36207,55.70605,0.2657,21.641
ELAIS-N1,2656538,244.59366,54.88040,1.0025,23.944
ELAIS-N1,2823828,243.43810,53.98080,0.5557,23.610
ELAIS-N1,3055075,241.67756,56.32707,0.7766,23.482
ELAIS-N1,283527,242.66275,53.41589,0.6664,23.989
ELAIS-N1,303926,242.23931,54.14890,0.7015,23.801
ELAIS-N1,1638831,241.64055,52.91029,1.1079,23.424
ELAIS-N1,3138076,245.74311,54.62874,0.6424,23.914
ELAIS-N1,1923836,243.24526,55.09596,0.6012,23.855
ELAIS-N1,2452488,245.00974,54.23292,0.3962,22.413
ELAIS-N1,1255534,244.25351,55.27551,0.4238,22.861
ELAIS-N1,2647400,245.18665,53.27151,0.2271,22.748
ELAIS-N1,1301382,243.74874,55.43104,0.4356,23.843
ELAIS-N1,2145338,240.59790,53.57223,0.5654,23.855
ELAIS-N1,1743254,243.24976,53.15115,0.8793,23.764
ELAIS-N1,1111250,243.50291,54.05285,0.3051,23.491
ELAIS-N1,3212096,239.64057,55.64628,0.8678,23.786
ELAIS-N1,992700,242.30228,52.81390,0.2258,22.626
ELAIS-N1,445826,244.33672,53.39183,0.6027,23.768
ELAIS-N1,3147767,245.43196,54.25692,0.3465,23.507
ELAIS-N1,2163090,244.16120,54.65271,0.3471,23.718
ELAIS-N1,617757,242.67488,54.66470,0.6484,22.723
ELAIS-N1,2122667,243.09175,53.53616,0.5937,23.672
ELAIS-N1,1771217,240.61372,53.95678,0.5631,23.801
ELAIS-N1,2375527,243.07531,53.92075,0.9302,23.982
ELAIS-N1,381532,242.42597,54.32891,0.6525,23.137
ELAIS-N1,2130484,242.15100,56.47024,0.5821,22.824
ELAIS-N1,1578221,241.98727,56.32707,0.3829,21.713
ELAIS-N1,1608939,241.10942,55.67019,0.5145,23.925
ELAIS-N1,3137098,244.10900,53.22337,0.1741,20.960
ELAIS-N1,1759976,243.54103,55.67019,0.3328,22.884
ELAIS-N1,657479,242.35380,54.26892,0.4180,22.819
ELAIS-N1,2282777,240.99089,54.32891,0.5972,23.174
ELAIS-N1,2960001,239.71299,55.45496,0.5862,23.371
ELAIS-N1,1016691,241.96839,53.62033,0.4825,22.808
ELAIS-N1,293300,241.17140,55.70605,0.5695,23.025
ELAIS-N1,230761,243.40977,54.83247,0.4224,22.942
ELAIS-N1,2395264,241.25198,53.39183,0.1946,23.271
ELAIS-N1,453385,239.81322,53.62033,0.4490,22.962
ELAIS-N1,1794183,245.11882,53.33167,0.6779,23.831
ELAIS-N1,921754,239.47913,53.53616,0.4733,23.868
ELAIS-N1,2961977,242.70680,53.63235,0.5524,23.141
ELAIS-N1,1282343,241.92648,53.17522,0.7685,23.708
ELAIS-N1,2877262,240.70824,54.35291,0.4706,23.883
ELAIS-N1,1671898,243.66107,54.77256,0.3774,23.292
ELAIS-N1,3136890,242.65465,54.92831,0.7512,23.353
ELAIS-N1,1647125,245.23561,55.55063,0.1493,20.143
ELAIS-N1,1802499,242.21996,52.85005,0.5953,23.564
ELAIS-N1,1058067,243.89788,55.59846,0.3763,23.408
ELAIS-N1,2427763,242.42449,53.86068,0.6869,23.025
ELAIS-N1,1369989,239.80480,55.23961,0.2705,23.655
ELAIS-N1,1358088,242.35229,53.01870,0.4891,23.647
ELAIS-N1,1432611,244.17279,53.63235,0.8580,23.659
ELAIS-N1,2977741,242.94184,54.06486,0.8591,23.043
ELAIS-N1,787873,244.16159,55.77776,0.4145,23.348
ELAIS-N1,2767413,244.24462,55.53868,0.4609,23.961
ELAIS-N1,2405108,240.36367,55.07202,0.2968,23.185
ELAIS-N1,104898,245.64074,54.02884,0.4048,23.488
ELAIS-N1,2949720,239.70225,54.32891,0.3913,21.529
ELAIS-N1,997374,244.15116,55.08399,0.7508,23.841
ELAIS-N1,2628527,240.15927,53.90874,0.4908,22.902
ELAIS-N1,1456362,240.95659,55.26354,0.9392,23.570
ELAIS-N1,1265351,240.22959,55.92114,0.2019,22.712
ELAIS-N1,3219673,244.48575,54.56879,0.7692,22.775
ELAIS-N1,387924,242.39867,53.30761,0.2147,22.264
ELAIS-N1,1761084,242.43019,54.24492,0.5882,23.510
ELAIS-N1,3008822,241.29969,55.88530,0.7600,23.527
ELAIS-N1,3181114,242.50164,54.58078,0.5750,22.699
ELAIS-N1,421817,242.18044,55.62237,0.7988,23.587
ELAIS-N1,3289329,243.00592,54.73661,0.3019,21.477
ELAIS-N1,121226,240.54085,54.92831,0.6186,23.211
ELAIS-N1,3026936,240.86730,53.22337,0.5297,23.751
ELAIS-N1,3199939,240.01478,54.66470,0.5366,23.261
ELAIS-N1,297945,238.88329,54.29292,0.5804,22.982
ELAIS-N1,2277575,244.84670,55.58651,0.8693,22.932
ELAIS-N1,993225,244.75647,55.96892,0.7176,23.443
ELAIS-N1,228060,242.50236,53.00665,0.5515,23.323
ELAIS-N1,2119793,240.41195,54.06486,0.6213,23.621
ELAIS-N1,1057595,242.80441,53.65639,0.4284,23.454
ELAIS-N1,1107408,245.30561,55.27551,0.4641,23.460
ELAIS-N1,2610400,245.17898,54.32891,0.4120,22.057
ELAIS-N1,750606,242.83417,52.77775,0.3801,22.865
ELAIS-N1,295657,243.19371,54.96424,0.7038,23.560
ELAIS-N1,2702961,244.39526,55.28747,0.5427,23.749
ELAIS-N1,2620349,239.13235,54.48485,0.3395,23.968
ELAIS-N1,2903592,240.12542,55.32337,0.5098,23.345
ELAIS-N1,1231358,240.94839,56.08834,1.0060,23.585
ELAIS-N1,75128,243.16369,53.59628,0.7636,22.797
ELAIS-N1,1356462,242.71108,53.82464,0.5255,23.945
ELAIS-N1,164080,242.34139,52.99461,0.3062,23.418
ELAIS-N1,743155,244.51139,53.25947,0.4022,22.809
ELAIS-N1,1818240,242.86528,54.32891,0.5950,23.929
ELAIS-N1,1780915,238.95588,54.48485,0.4840,23.178
ELAIS-N1,541727,242.37078,54.98820,0.8466,23.663
ELAIS-N1,380825,239.76152,54.22092,0.2744,21.988
ELAIS-N1,2270382,245.25602,55.34730,0.7384,22.716
ELAIS-N1,2987439,241.52201,52.76570,0.8190,23.364
ELAIS-N1,1618322,240.51529,53.12707,0.9473,23.827
ELAIS-N1,2364544,241.08754,55.28747,0.8425,23.942
ELAIS-N1,659456,241.15458,53.63235,0.5637,22.881
ELAIS-N1,1110314,242.03897,53.33167,0.7980,22.589
ELAIS-N1,333031,244.47466,55.68215,0.3107,22.928
