field,SNID,RA_deg,DEC_deg,z_cmb,peakmag_Z
ELAIS-N1,138672,241.56451,54.91708,1.7324,23.525
ELAIS-N1,1305846,244.12691,54.95242,1.5140,22.986
ELAIS-N1,1638196,240.29427,55.26286,0.5577,22.899
ELAIS-N1,3304851,240.49238,53.93687,1.5377,23.115
ELAIS-N1,2197494,240.79126,54.54537,0.2879,19.487
ELAIS-N1,1693681,242.31908,55.59863,1.5161,23.749
ELAIS-N1,3135804,243.24353,52.88464,1.0536,22.099
ELAIS-N1,1043060,241.78550,55.01201,0.9751,20.560
ELAIS-N1,2553408,241.85208,55.34645,1.1369,21.400
ELAIS-N1,2016488,239.20501,54.92738,0.7619,21.973
ELAIS-N1,957518,243.76023,53.89468,1.6882,23.252
ELAIS-N1,1473584,242.07508,53.16102,1.2113,22.899
ELAIS-N1,543444,241.09177,54.35272,0.9304,21.935
ELAIS-N1,2917434,240.80922,55.03353,1.1385,23.320
ELAIS-N1,1921338,242.37485,54.59295,1.0391,21.780
ELAIS-N1,1714625,243.05958,53.65980,1.7682,23.466
ELAIS-N1,1382167,241.29931,53.47488,1.2816,23.580
ELAIS-N1,354905,240.70163,55.34928,1.3610,23.121
ELAIS-N1,2296495,241.87718,53.89726,2.1618,23.438
ELAIS-N1,2619390,242.81019,53.08946,1.7358,23.595
ELAIS-N1,1219725,239.78883,55.09792,0.8518,22.879
ELAIS-N1,1001249,242.76036,54.07793,2.2262,23.392
ELAIS-N1,2632910,240.76771,54.38905,0.1617,22.891
ELAIS-N1,2668054,243.13470,55.20359,1.4191,23.806
ELAIS-N1,3022960,240.34174,54.43108,1.4214,22.140
ELAIS-N1,1232046,241.13775,54.29509,0.6918,21.061
ELAIS-N1,706122,244.46140,53.85089,1.4286,23.393
ELAIS-N1,1879969,242.10371,55.75179,1.6399,23.385
ELAIS-N1,2004204,243.94175,53.46144,1.1481,22.010
ELAIS-N1,1345158,239.55109,53.94435,0.8568,23.745
ELAIS-N1,120574,239.76173,55.75361,0.6646,23.310
ELAIS-N1,2279898,245.61458,54.50863,0.6487,22.145
ELAIS-N1,2917587,242.32899,53.28134,1.2006,23.000
ELAIS-N1,527629,244.18580,55.49304,1.0216,21.624
ELAIS-N1,1163710,239.70164,54.83437,1.0186,22.732
ELAIS-N1,1441443,243.36676,54.36284,0.0892,19.802
ELAIS-N1,2240201,243.62086,53.96904,1.5729,23.603
ELAIS-N1,60722,245.75680,53.82217,0.6343,20.485
ELAIS-N1,1202857,240.89384,55.08590,1.3049,22.595
ELAIS-N1,1811767,244.49476,53.83654,0.8907,21.901
ELAIS-N1,1135806,242.81962,54.07923,1.3825,23.814
ELAIS-N1,2074573,241.31945,55.59661,0.8944,21.797
ELAIS-N1,135169,242.62483,54.10132,1.4201,22.938
ELAIS-N1,474244,242.79673,52.56336,1.0977,23.031
ELAIS-N1,3167883,242.38178,54.54443,0.7466,20.649
ELAIS-N1,1385622,244.64919,54.50999,1.4402,23.546
ELAIS-N1,2335438,243.30070,54.61686,0.8670,23.394
ELAIS-N1,470823,241.42535,53.19932,0.4698,23.708
ELAIS-N1,2580466,242.88121,54.11294,1.2726,23.126
ELAIS-N1,2657055,242.38548,52.65631,0.8889,23.549
ELAIS-N1,406570,244.59589,55.30007,0.5248,22.565
ELAIS-N1,1915385,242.93353,56.18375,0.7415,21.459
ELAIS-N1,1670618,242.94471,53.05083,0.4373,20.761
ELAIS-N1,1824126,241.91643,53.07441,1.1755,21.988
ELAIS-N1,2580192,243.06716,54.38442,2.2437,22.873
ELAIS-N1,1585034,242.65274,53.82132,0.9985,21.356
ELAIS-N1,167623,243.18654,53.19885,0.8184,23.137
ELAIS-N1,1023940,242.53389,52.76628,1.3099,23.811
ELAIS-N1,1563247,243.70606,54.05261,1.1550,22.757
ELAIS-N1,352124,243.60745,54.72531,1.0313,22.866
ELAIS-N1,1433842,243.08578,53.51179,1.4712,23.674
ELAIS-N1,472093,243.13170,54.57111,1.4459,23.602
ELAIS-N1,2315457,239.54346,54.48402,0.4011,20.354
ELAIS-N1,2775229,240.49367,52.93482,0.8935,23.353
ELAIS-N1,2145341,243.46006,54.02888,1.0605,22.250
ELAIS-N1,1987898,243.63657,55.21612,1.3231,23.982
ELAIS-N1,1818969,240.55660,54.76077,1.0372,23.212
ELAIS-N1,739381,242.58682,55.21236,0.7868,20.407
ELAIS-N1,1751860,241.85333,53.81289,1.0111,22.277
ELAIS-N1,2196945,241.54761,55.72919,0.5749,23.878
ELAIS-N1,941740,242.74953,54.88202,0.5552,19.995
ELAIS-N1,206557,242.88616,55.76822,0.8492,21.586
ELAIS-N1,2515289,241.99453,54.09033,0.5008,20.386
ELAIS-N1,2704049,240.58407,55.27536,0.6051,22.166
ELAIS-N1,346119,240.39612,54.41344,0.5973,23.813
ELAIS-N1,2806228,242.79812,54.46119,1.0558,23.178
ELAIS-N1,663053,239.39693,55.08442,0.6876,21.809
ELAIS-N1,3205851,243.76614,54.04560,1.0498,22.122
ELAIS-N1,1733348,239.10348,54.59443,0.9588,22.518
ELAIS-N1,435343,243.42765,56.19589,0.6379,21.299
ELAIS-N1,1273340,241.80841,53.68027,1.2622,23.499
ELAIS-N1,3097874,245.30868,55.83697,0.9524,22.350
ELAIS-N1,175780,243.65344,56.45796,0.7963,22.782
ELAIS-N1,2955820,241.04993,54.40064,1.3933,23.959
ELAIS-N1,2145084,240.40428,56.04242,1.3982,22.476
ELAIS-N1,492839,242.82061,54.31509,1.2964,23.973
ELAIS-N1,591009,244.92861,53.18821,1.0347,23.975
ELAIS-N1,479446,239.82451,54.83381,0.6813,20.914
ELAIS-N1,950355,239.66971,53.58429,0.4699,21.985
ELAIS-N1,137196,244.05631,53.38155,1.2050,22.798
ELAIS-N1,2054866,243.36801,53.95786,1.1075,22.952
ELAIS-N1,816589,242.57512,55.13697,1.0383,23.451
ELAIS-N1,353041,244.75018,54.03979,0.7398,21.375
ELAIS-N1,2471084,239.44314,54.60479,1.0748,23.587
ELAIS-N1,2416723,242.24877,54.75876,2.1914,23.554
ELAIS-N1,2821695,241.55110,54.93768,0.8292,20.985
ELAIS-N1,2887593,243.35250,53.60509,0.5816,19.952
ELAIS-N1,60774,244.29240,55.43142,1.3055,23.123
ELAIS-N1,3142418,241.69103,53.41584,0.9280,23.963
ELAIS-N1,411764,241.96505,53.00503,1.3488,23.650
ELAIS-N1,1971836,242.91153,54.74493,1.6216,23.842
ELAIS-N1,644551,243.63024,52.65055,1.0484,23.715
ELAIS-N1,1994481,240.28289,53.81749,1.1601,22.876
ELAIS-N1,1454431,243.33186,54.65315,0.6850,20.753
ELAIS-N1,837104,241.13099,53.51230,0.7384,22.780
ELAIS-N1,207020,241.74245,52.65573,1.6247,23.831
ELAIS-N1,645214,242.53734,54.17295,0.4974,20.375
ELAIS-N1,2279485,240.04487,53.33099,1.0136,23.605
ELAIS-N1,1785117,242.80778,53.77623,1.4395,23.394
ELAIS-N1,667438,244.15500,54.70408,1.0442,21.400
ELAIS-N1,2171047,244.34347,55.10899,1.1698,21.894
ELAIS-N1,3135407,240.98806,54.22056,1.1839,22.478
ELAIS-N1,924946,241.56365,56.23185,0.6566,22.524
ELAIS-N1,3011646,243.53785,54.17403,1.9867,23.659
ELAIS-N1,1266653,242.46261,54.59249,0.7008,21.900
ELAIS-N1,188100,242.18902,54.56589,0.6914,20.576
ELAIS-N1,933586,240.18252,55.93452,0.9983,21.917
ELAIS-N1,676712,240.37160,53.17722,1.3645,23.053
ELAIS-N1,2130458,240.02604,54.32924,1.0374,22.590
ELAIS-N1,2171851,241.05499,52.86288,1.8868,23.656
ELAIS-N1,1288097,241.89426,53.29716,0.9209,22.536
ELAIS-N1,707726,243.18192,54.37701,0.7098,23.514
ELAIS-N1,2791008,241.97787,52.71796,0.9466,23.085
ELAIS-N1,1106547,243.78707,55.31079,1.0734,21.523
ELAIS-N1,3306241,242.32294,54.97660,1.2354,22.705
ELAIS-N1,1630729,240.38705,54.56994,0.7899,20.681
ELAIS-N1,1242023,244.23588,55.34661,1.5895,23.671
ELAIS-N1,2759126,244.94363,56.05750,0.7073,22.545
ELAIS-N1,914397,240.37064,55.84972,0.9366,22.845
ELAIS-N1,2990285,241.04298,53.86558,0.7071,21.722
ELAIS-N1,2798719,243.51895,55.37066,0.9712,23.235
ELAIS-N1,1244681,239.56392,54.67701,0.4827,22.107
ELAIS-N1,3189002,242.80466,52.65682,1.1115,23.020
ELAIS-N1,1223354,241.13198,56.31658,0.8363,21.769
ELAIS-N1,1415848,241.16379,53.31960,0.6988,23.303
ELAIS-N1,314992,245.33620,55.40709,1.1511,23.846
ELAIS-N1,204366,243.77201,52.95758,1.3109,23.325
ELAIS-N1,1133208,242.09170,54.12336,1.2267,23.706
ELAIS-N1,997988,243.00152,55.26284,0.8489,23.237
ELAIS-N1,2635142,245.64826,55.30153,0.8691,21.804
ELAIS-N1,780840,241.26028,54.28176,1.2431,23.230
ELAIS-N1,1285386,242.69666,55.14348,1.4515,23.903
ELAIS-N1,2811268,240.66987,55.85915,0.9753,22.029
ELAIS-N1,1547668,243.62713,55.22772,0.6841,21.183
ELAIS-N1,2448478,242.09540,54.18456,2.1692,23.916
ELAIS-N1,2565005,240.87640,55.32110,1.6135,22.529
ELAIS-N1,731094,243.55046,53.33215,0.7633,23.726
ELAIS-N1,1837424,242.57201,53.34336,0.8410,21.497
ELAIS-N1,1479000,242.53978,52.47686,0.9990,22.652
ELAIS-N1,1937222,241.23532,54.14152,1.1813,22.576
ELAIS-N1,575914,241.46623,56.17842,0.4365,19.456
ELAIS-N1,1302256,243.04737,55.44576,1.2605,23.151
ELAIS-N1,416525,241.10911,53.35578,1.0505,22.601
ELAIS-N1,2065327,245.60622,55.22854,1.6408,23.922
ELAIS-N1,964621,238.92577,55.06470,0.6596,20.417
ELAIS-N1,3180382,242.88855,52.50050,1.0307,23.872
ELAIS-N1,2509796,241.23500,54.91689,1.3968,23.372
ELAIS-N1,1047708,244.34518,56.19328,1.2801,23.069
ELAIS-N1,591753,242.83305,54.53323,0.9164,23.260
ELAIS-N1,1466924,241.95767,54.10100,0.8559,23.780
ELAIS-N1,3102561,245.68068,53.65636,0.9902,23.323
ELAIS-N1,508020,243.41438,53.81219,0.7845,20.669
ELAIS-N1,2362587,240.22527,55.50248,0.5940,20.752
ELAIS-N1,2779912,243.49058,52.68160,1.1082,23.827
ELAIS-N1,2703755,244.06670,54.95268,1.6786,23.958
ELAIS-N1,3094140,240.98811,54.96445,0.3412,22.031
ELAIS-N1,508258,245.22680,55.19504,0.7749,21.410
ELAIS-N1,1629464,244.60791,56.08712,1.5259,23.218
ELAIS-N1,2441117,242.80377,53.93005,0.7755,21.572
ELAIS-N1,448810,242.90914,53.03091,0.4275,23.170
ELAIS-N1,1054319,242.74223,55.40519,0.8917,22.212
ELAIS-N1,1542560,240.03508,54.85779,1.6360,23.269
ELAIS-N1,434709,241.33720,54.18486,0.5389,21.114
ELAIS-N1,793506,245.60022,55.10796,0.6732,22.165
ELAIS-N1,1592464,243.49635,54.47445,1.4144,23.779
ELAIS-N1,2923025,240.48851,53.34432,0.6504,21.583
ELAIS-N1,2475375,241.44876,56.04075,0.6991,21.199
ELAIS-N1,3079302,242.09103,52.59631,0.8342,20.915
ELAIS-N1,1947553,241.78878,55.89654,1.2237,23.542
ELAIS-N1,2505871,241.11578,54.89728,0.8973,22.183
ELAIS-N1,899264,241.37258,55.49296,1.8941,22.175
ELAIS-N1,2600098,241.80539,54.37775,0.9539,21.826
ELAIS-N1,974622,242.35707,54.80866,0.8014,21.813
ELAIS-N1,1387018,242.07660,54.01682,1.2446,23.629
ELAIS-N1,1267469,245.04646,55.34738,0.9904,21.869
ELAIS-N1,495426,243.48304,54.97745,1.2550,23.362
