field,SNID,RA_deg,DEC_deg,z_cmb,peakmag_Z
ELAIS-N1,876822,243.45778,54.40090,1.8644,26.742
ELAIS-N1,138672,241.56250,54.91633,1.7324,25.550
ELAIS-N1,2295985,242.98826,54.40090,2.3027,-9.000
ELAIS-N1,1305846,244.12612,54.95227,1.5140,25.988
ELAIS-N1,3088645,245.35463,55.33533,0.8505,23.463
ELAIS-N1,1351539,240.86714,53.63235,1.8671,26.430
ELAIS-N1,1638196,240.29549,55.26354,0.5577,22.747
ELAIS-N1,3304851,240.48777,53.93276,1.5377,26.124
ELAIS-N1,2197494,240.79051,54.54481,0.2879,22.208
ELAIS-N1,1791059,242.44747,54.65271,1.7896,25.601
ELAIS-N1,1693681,242.32053,55.59846,1.5161,25.989
ELAIS-N1,3135804,243.23677,52.88620,1.0536,23.643
ELAIS-N1,1160995,242.32442,53.95678,1.0274,24.963
ELAIS-N1,1043060,241.78548,55.01215,0.9751,23.588
ELAIS-N1,2553408,241.85241,55.34730,1.1369,24.187
ELAIS-N1,862207,241.90544,53.51211,1.4075,25.239
ELAIS-N1,2016488,239.20112,54.92831,0.7619,23.856
ELAIS-N1,2375268,245.25302,55.39515,1.5156,25.635
ELAIS-N1,1178642,242.94089,54.66470,1.2625,24.677
ELAIS-N1,2719482,241.90280,54.78455,2.8457,-9.000
ELAIS-N1,957518,243.75844,53.89672,1.6882,26.591
ELAIS-N1,2545135,241.55286,53.06687,0.4986,22.625
ELAIS-N1,1473584,242.07729,53.16318,1.2113,24.588
ELAIS-N1,1350951,243.99027,55.43104,1.5875,26.333
ELAIS-N1,543444,241.08922,54.35291,0.9304,24.129
ELAIS-N1,2917434,240.81121,55.03610,1.1385,24.725
ELAIS-N1,849673,244.52048,53.41589,1.5141,25.700
ELAIS-N1,3303261,239.85681,54.74860,1.0440,23.836
ELAIS-N1,2622884,242.83383,54.80851,1.0905,24.106
ELAIS-N1,1921338,242.37463,54.59277,1.0391,24.542
ELAIS-N1,1714625,243.06328,53.65639,1.7682,26.296
ELAIS-N1,1382167,241.30248,53.47603,1.2816,25.594
ELAIS-N1,354905,240.70783,55.34730,1.3610,24.856
ELAIS-N1,2296495,241.87681,53.89672,2.1618,-9.000
ELAIS-N1,2283797,243.50709,55.63433,1.7781,26.353
ELAIS-N1,2765118,239.12636,54.73661,1.0662,24.770
ELAIS-N1,2619390,242.81014,53.09095,1.7358,25.920
ELAIS-N1,1219725,239.77567,55.09596,0.8518,24.155
ELAIS-N1,1001249,242.75856,54.07687,2.2262,-9.000
ELAIS-N1,2632910,240.76760,54.38890,0.1617,20.594
