field,SNID,RA_deg,DEC_deg,z_cmb,peakmag_Z
ELAIS-N1,3088645,245.35463,55.33533,0.8505,23.463
ELAIS-N1,1638196,240.29549,55.26354,0.5577,22.747
ELAIS-N1,2197494,240.79051,54.54481,0.2879,22.208
ELAIS-N1,3135804,243.23677,52.88620,1.0536,23.643
ELAIS-N1,1043060,241.78548,55.01215,0.9751,23.588
ELAIS-N1,2016488,239.20112,54.92831,0.7619,23.856
ELAIS-N1,2545135,241.55286,53.06687,0.4986,22.625
ELAIS-N1,3303261,239.85681,54.74860,1.0440,23.836
ELAIS-N1,2632910,240.76760,54.38890,0.1617,20.594
ELAIS-N1,1232046,241.13622,54.29292,0.6918,23.816
ELAIS-N1,120574,239.76134,55.75386,0.6646,23.483
ELAIS-N1,2279898,245.61642,54.50884,0.6487,23.162
ELAIS-N1,1441443,243.36645,54.36491,0.0892,19.757
ELAIS-N1,60722,245.74478,53.82464,0.6343,23.503
ELAIS-N1,1811767,244.49422,53.83666,0.8907,23.799
ELAIS-N1,2074573,241.31951,55.59846,0.8944,23.885
ELAIS-N1,881529,241.33989,53.99281,0.5618,22.983
ELAIS-N1,3167883,242.38134,54.54481,0.7466,23.355
ELAIS-N1,2335438,243.30108,54.61675,0.8670,23.906
ELAIS-N1,470823,241.42564,53.19930,0.4698,22.441
ELAIS-N1,2821502,240.95824,52.69338,0.7619,23.769
ELAIS-N1,406570,244.59726,55.29944,0.5248,22.528
ELAIS-N1,1915385,242.93523,56.18385,0.7415,23.464
ELAIS-N1,1670618,242.94904,53.05482,0.4373,22.348
ELAIS-N1,1200821,240.72996,53.47603,0.9422,23.700
ELAIS-N1,2110720,244.48739,54.10088,1.0621,23.911
ELAIS-N1,2024431,245.69791,55.09596,0.9493,23.871
ELAIS-N1,465733,243.03841,54.65271,0.9583,23.904
ELAIS-N1,2315457,239.54412,54.48485,0.4011,21.992
ELAIS-N1,739381,242.58586,55.21567,0.7868,23.816
ELAIS-N1,2196945,241.54770,55.72996,0.5749,22.825
ELAIS-N1,941740,242.75025,54.88040,0.5552,23.405
ELAIS-N1,2515289,241.99321,54.08887,0.5008,22.622
ELAIS-N1,2704049,240.58617,55.27551,0.6051,23.212
ELAIS-N1,346119,240.39628,54.41289,0.5973,22.759
ELAIS-N1,1128176,240.89829,53.33167,0.3045,21.969
ELAIS-N1,663053,239.39701,55.08399,0.6876,23.706
ELAIS-N1,3205851,243.76453,54.05285,1.0498,23.962
ELAIS-N1,435343,243.41961,56.19579,0.6379,23.391
ELAIS-N1,368266,243.81900,55.33533,0.6304,23.552
ELAIS-N1,479446,239.81689,54.83247,0.6813,23.534
ELAIS-N1,950355,239.66986,53.58426,0.4699,22.204
ELAIS-N1,353041,244.73200,54.04085,0.7398,23.171
ELAIS-N1,1472110,242.80204,54.65271,0.5355,22.881
ELAIS-N1,2551832,242.23960,53.99281,0.7298,23.510
ELAIS-N1,2821695,241.54368,54.94029,0.8292,23.491
ELAIS-N1,2887593,243.35621,53.60830,0.5816,22.961
ELAIS-N1,3142418,241.69101,53.41589,0.9280,23.854
