field,SNID,RA_deg,DEC_deg,z_cmb,peakmag_Z
ELAIS-N1,246219,241.94712,53.76456,0.6964,24.731
ELAIS-N1,3056839,241.18885,54.41289,1.9550,25.177
ELAIS-N1,2692731,244.25914,53.46400,0.7719,24.835
ELAIS-N1,876614,239.33409,54.17291,0.2980,22.954
ELAIS-N1,2460655,243.62758,53.34371,0.2852,25.409
ELAIS-N1,797373,245.40120,55.31140,0.6072,25.054
ELAIS-N1,929215,244.48348,54.14890,0.9334,24.613
ELAIS-N1,1268288,242.97199,56.49409,0.4583,22.403
ELAIS-N1,295639,239.79194,54.00482,0.7019,25.017
ELAIS-N1,895621,240.95520,53.70447,0.3712,24.992
ELAIS-N1,1488530,243.27850,54.36491,0.5596,23.707
ELAIS-N1,1314072,244.30993,56.15997,0.5417,24.576
ELAIS-N1,3203711,242.65878,54.17291,0.3768,21.874
ELAIS-N1,892462,240.80711,55.74191,0.4876,23.606
ELAIS-N1,21293,242.23097,53.84867,0.7779,25.038
ELAIS-N1,1273515,241.79041,52.89825,0.8710,25.627
ELAIS-N1,703602,243.12646,55.33533,0.7932,24.104
ELAIS-N1,2271753,240.51724,53.27151,0.3758,25.040
ELAIS-N1,2030277,240.04564,55.70605,0.1588,23.349
ELAIS-N1,701795,245.06369,55.40712,0.9606,24.764
ELAIS-N1,3302147,243.39038,55.78971,0.5548,22.580
