band,MJD,date
R062-R,61591.400,2026-12-03
R062-R,61591.401,2026-12-03
R062-R,61591.403,2026-12-03
R062-R,61591.404,2026-12-03
R062-R,61591.406,2026-12-03
R062-R,61591.407,2026-12-03
R062-R,61591.409,2026-12-03
R062-R,61591.410,2026-12-03
R062-R,61591.412,2026-12-03
R062-R,61591.413,2026-12-03
R062-R,61591.415,2026-12-03
R062-R,61591.416,2026-12-03
R062-R,61591.418,2026-12-03
R062-R,61591.419,2026-12-03
R062-R,61591.420,2026-12-03
R062-R,61591.422,2026-12-03
R062-R,61591.423,2026-12-03
R062-R,61591.425,2026-12-03
R062-R,61591.426,2026-12-03
R062-R,61591.428,2026-12-03
R062-R,61591.430,2026-12-03
R062-R,61591.431,2026-12-03
R062-R,61591.432,2026-12-03
R062-R,61591.434,2026-12-03
R062-R,61591.435,2026-12-03
R062-R,61591.437,2026-12-03
R062-R,61591.438,2026-12-03
R062-R,61591.440,2026-12-03
R062-R,61591.441,2026-12-03
R062-R,61591.443,2026-12-03
R062-R,61591.444,2026-12-03
R062-R,61591.446,2026-12-03
R062-R,61591.447,2026-12-03
R062-R,61591.448,2026-12-03
R062-R,61591.450,2026-12-03
R062-R,61591.453,2026-12-03
R062-R,61591.454,2026-12-03
R062-R,61607.140,2026-12-19
R062-R,61607.142,2026-12-19
R062-R,61607.143,2026-12-19
R062-R,61607.145,2026-12-19
R062-R,61607.146,2026-12-19
R062-R,61607.148,2026-12-19
R062-R,61607.149,2026-12-19
R062-R,61607.150,2026-12-19
R062-R,61607.152,2026-12-19
R062-R,61607.153,2026-12-19
R062-R,61607.155,2026-12-19
R062-R,61607.156,2026-12-19
R062-R,61607.158,2026-12-19
R062-R,61607.159,2026-12-19
R062-R,61607.161,2026-12-19
R062-R,61607.162,2026-12-19
R062-R,61607.164,2026-12-19
R062-R,61607.165,2026-12-19
R062-R,61607.166,2026-12-19
R062-R,61607.168,2026-12-19
R062-R,61607.170,2026-12-19
R062-R,61607.171,2026-12-19
R062-R,61607.173,2026-12-19
R062-R,61607.174,2026-12-19
R062-R,61607.176,2026-12-19
R062-R,61607.177,2026-12-19
R062-R,61607.178,2026-12-19
R062-R,61607.180,2026-12-19
R062-R,61607.181,2026-12-19
R062-R,61607.183,2026-12-19
R062-R,61607.184,2026-12-19
R062-R,61607.186,2026-12-19
R062-R,61607.187,2026-12-19
R062-R,61607.189,2026-12-19
R062-R,61607.190,2026-12-19
R062-R,61607.192,2026-12-19
R062-R,61607.193,2026-12-19
R062-R,61607.195,2026-12-19
R062-R,61622.687,2027-01-03
R062-R,61622.688,2027-01-03
R062-R,61622.690,2027-01-03
R062-R,61622.691,2027-01-03
R062-R,61622.693,2027-01-03
R062-R,61622.694,2027-01-03
R062-R,61622.696,2027-01-03
R062-R,61622.697,2027-01-03
R062-R,61622.699,2027-01-03
R062-R,61622.700,2027-01-03
R062-R,61622.702,2027-01-03
R062-R,61622.703,2027-01-03
R062-R,61622.704,2027-01-03
R062-R,61622.706,2027-01-03
R062-R,61622.707,2027-01-03
R062-R,61622.709,2027-01-03
R062-R,61622.710,2027-01-03
R062-R,61622.712,2027-01-03
R062-R,61622.713,2027-01-03
R062-R,61622.715,2027-01-03
R062-R,61622.716,2027-01-03
R062-R,61622.718,2027-01-03
R062-R,61622.719,2027-01-03
R062-R,61622.721,2027-01-03
R062-R,61622.722,2027-01-03
R062-R,61622.724,2027-01-03
R062-R,61622.725,2027-01-03
R062-R,61622.727,2027-01-03
R062-R,61622.728,2027-01-03
R062-R,61622.730,2027-01-03
R062-R,61622.731,2027-01-03
R062-R,61622.733,2027-01-03
R062-R,61622.734,2027-01-03
R062-R,61622.736,2027-01-03
R062-R,61622.737,2027-01-03
R062-R,61622.738,2027-01-03
R062-R,61622.740,2027-01-03
R062-R,61622.741,2027-01-03
R062-R,61638.536,2027-01-19
R062-R,61638.537,2027-01-19
R062-R,61638.539,2027-01-19
R062-R,61638.540,2027-01-19
R062-R,61638.542,2027-01-19
R062-R,61638.543,2027-01-19
R062-R,61638.544,2027-01-19
R062-R,61638.546,2027-01-19
R062-R,61638.548,2027-01-19
R062-R,61638.549,2027-01-19
R062-R,61638.550,2027-01-19
R062-R,61638.552,2027-01-19
R062-R,61638.553,2027-01-19
R062-R,61638.555,2027-01-19
R062-R,61638.556,2027-01-19
R062-R,61638.558,2027-01-19
R062-R,61638.559,2027-01-19
R062-R,61638.561,2027-01-19
R062-R,61638.562,2027-01-19
R062-R,61638.564,2027-01-19
R062-R,61638.565,2027-01-19
R062-R,61638.567,2027-01-19
R062-R,61638.568,2027-01-19
R062-R,61638.570,2027-01-19
R062-R,61638.571,2027-01-19
R062-R,61638.573,2027-01-19
R062-R,61638.574,2027-01-19
R062-R,61638.576,2027-01-19
R062-R,61638.577,2027-01-19
R062-R,61638.578,2027-01-19
R062-R,61638.580,2027-01-19
R062-R,61638.581,2027-01-19
R062-R,61638.583,2027-01-19
R062-R,61638.584,2027-01-19
R062-R,61638.586,2027-01-19
R062-R,61638.587,2027-01-19
R062-R,61638.589,2027-01-19
R062-R,61638.590,2027-01-19
R062-R,61654.820,2027-02-04
R062-R,61654.822,2027-02-04
R062-R,61654.823,2027-02-04
R062-R,61654.825,2027-02-04
R062-R,61654.826,2027-02-04
R062-R,61654.828,2027-02-04
R062-R,61654.829,2027-02-04
R062-R,61654.831,2027-02-04
R062-R,61654.832,2027-02-04
R062-R,61654.834,2027-02-04
R062-R,61654.835,2027-02-04
R062-R,61654.836,2027-02-04
R062-R,61654.838,2027-02-04
R062-R,61654.839,2027-02-04
R062-R,61654.841,2027-02-04
R062-R,61654.842,2027-02-04
R062-R,61654.844,2027-02-04
R062-R,61654.845,2027-02-04
R062-R,61654.847,2027-02-04
R062-R,61654.848,2027-02-04
R062-R,61654.850,2027-02-04
R062-R,61654.851,2027-02-04
R062-R,61654.853,2027-02-04
R062-R,61654.854,2027-02-04
R062-R,61654.856,2027-02-04
R062-R,61654.857,2027-02-04
R062-R,61654.859,2027-02-04
R062-R,61654.860,2027-02-04
R062-R,61654.862,2027-02-04
R062-R,61654.863,2027-02-04
R062-R,61654.864,2027-02-04
R062-R,61654.866,2027-02-04
R062-R,61654.867,2027-02-04
R062-R,61654.869,2027-02-04
R062-R,61654.870,2027-02-04
R062-R,61654.872,2027-02-04
R062-R,61654.873,2027-02-04
R062-R,61654.875,2027-02-04
R062-R,61671.985,2027-02-21
R062-R,61671.987,2027-02-21
R062-R,61671.988,2027-02-21
R062-R,61671.990,2027-02-21
R062-R,61671.991,2027-02-21
R062-R,61671.992,2027-02-21
R062-R,61671.994,2027-02-21
R062-R,61671.996,2027-02-21
R062-R,61671.997,2027-02-21
R062-R,61671.998,2027-02-21
R062-R,61672.000,2027-02-22
R062-R,61672.001,2027-02-22
R062-R,61672.003,2027-02-22
R062-R,61672.004,2027-02-22
R062-R,61672.006,2027-02-22
R062-R,61672.007,2027-02-22
R062-R,61672.009,2027-02-22
R062-R,61672.010,2027-02-22
R062-R,61672.012,2027-02-22
R062-R,61672.013,2027-02-22
R062-R,61672.015,2027-02-22
R062-R,61672.016,2027-02-22
R062-R,61672.018,2027-02-22
R062-R,61672.019,2027-02-22
R062-R,61672.021,2027-02-22
R062-R,61672.022,2027-02-22
R062-R,61672.024,2027-02-22
R062-R,61672.025,2027-02-22
R062-R,61672.026,2027-02-22
R062-R,61672.028,2027-02-22
R062-R,61672.029,2027-02-22
R062-R,61672.031,2027-02-22
R062-R,61672.032,2027-02-22
R062-R,61672.034,2027-02-22
R062-R,61672.035,2027-02-22
R062-R,61672.037,2027-02-22
R062-R,61672.038,2027-02-22
R062-R,61672.040,2027-02-22
R062-R,62137.000,2028-06-01
R062-R,62137.001,2028-06-01
R062-R,62137.002,2028-06-01
R062-R,62137.004,2028-06-01
R062-R,62137.005,2028-06-01
R062-R,62137.006,2028-06-01
R062-R,62137.007,2028-06-01
R062-R,62137.008,2028-06-01
R062-R,62137.009,2028-06-01
R062-R,62137.010,2028-06-01
R062-R,62137.012,2028-06-01
R062-R,62137.013,2028-06-01
R062-R,62137.014,2028-06-01
R062-R,62137.015,2028-06-01
R062-R,62137.016,2028-06-01
R062-R,62137.018,2028-06-01
R062-R,62137.019,2028-06-01
R062-R,62137.020,2028-06-01
R062-R,62137.021,2028-06-01
R062-R,62137.022,2028-06-01
R062-R,62137.024,2028-06-01
R062-R,62137.025,2028-06-01
R062-R,62137.026,2028-06-01
R062-R,62137.027,2028-06-01
R062-R,62137.028,2028-06-01
R062-R,62137.030,2028-06-01
R062-R,62137.031,2028-06-01
R062-R,62137.032,2028-06-01
R062-R,62137.033,2028-06-01
R062-R,62137.034,2028-06-01
R062-R,62137.035,2028-06-01
R062-R,62137.037,2028-06-01
R062-R,62137.038,2028-06-01
R062-R,62137.039,2028-06-01
R062-R,62137.040,2028-06-01
R062-R,62137.041,2028-06-01
R062-R,62137.042,2028-06-01
R062-R,62137.044,2028-06-01
R062-R,62141.718,2028-06-05
R062-R,62141.719,2028-06-05
R062-R,62141.720,2028-06-05
R062-R,62141.722,2028-06-05
R062-R,62141.723,2028-06-05
R062-R,62141.724,2028-06-05
R062-R,62141.725,2028-06-05
R062-R,62141.726,2028-06-05
R062-R,62141.727,2028-06-05
R062-R,62141.729,2028-06-05
R062-R,62141.730,2028-06-05
R062-R,62141.731,2028-06-05
R062-R,62141.732,2028-06-05
R062-R,62141.733,2028-06-05
R062-R,62141.734,2028-06-05
R062-R,62141.736,2028-06-05
R062-R,62141.737,2028-06-05
R062-R,62141.738,2028-06-05
R062-R,62141.739,2028-06-05
R062-R,62141.741,2028-06-05
R062-R,62141.742,2028-06-05
R062-R,62141.743,2028-06-05
R062-R,62141.744,2028-06-05
R062-R,62141.745,2028-06-05
R062-R,62141.746,2028-06-05
R062-R,62141.748,2028-06-05
R062-R,62141.749,2028-06-05
R062-R,62141.750,2028-06-05
R062-R,62141.751,2028-06-05
R062-R,62141.752,2028-06-05
R062-R,62141.753,2028-06-05
R062-R,62141.755,2028-06-05
R062-R,62141.756,2028-06-05
R062-R,62141.757,2028-06-05
R062-R,62141.758,2028-06-05
R062-R,62141.759,2028-06-05
R062-R,62141.760,2028-06-05
R062-R,62141.762,2028-06-05
R062-R,62146.434,2028-06-10
R062-R,62146.435,2028-06-10
R062-R,62146.436,2028-06-10
R062-R,62146.438,2028-06-10
R062-R,62146.439,2028-06-10
R062-R,62146.440,2028-06-10
R062-R,62146.441,2028-06-10
R062-R,62146.442,2028-06-10
R062-R,62146.443,2028-06-10
R062-R,62146.445,2028-06-10
R062-R,62146.446,2028-06-10
R062-R,62146.447,2028-06-10
R062-R,62146.448,2028-06-10
R062-R,62146.449,2028-06-10
R062-R,62146.450,2028-06-10
R062-R,62146.452,2028-06-10
R062-R,62146.453,2028-06-10
R062-R,62146.454,2028-06-10
R062-R,62146.455,2028-06-10
R062-R,62146.457,2028-06-10
R062-R,62146.458,2028-06-10
R062-R,62146.459,2028-06-10
R062-R,62146.460,2028-06-10
R062-R,62146.461,2028-06-10
R062-R,62146.462,2028-06-10
R062-R,62146.464,2028-06-10
R062-R,62146.465,2028-06-10
R062-R,62146.466,2028-06-10
R062-R,62146.467,2028-06-10
