evening_date,dark_hours,observable_hours
2029-01-01,10.50,0.25
2029-01-02,10.50,0.25
2029-01-03,10.50,0.50
2029-01-04,10.50,0.50
2029-01-05,10.25,0.50
2029-01-06,10.25,0.75
2029-01-07,10.25,0.75
2029-01-08,10.25,0.75
2029-01-09,10.25,0.75
2029-01-10,10.25,1.00
2029-01-11,10.25,1.00
2029-01-12,10.25,1.00
2029-01-13,10.25,1.00
2029-01-14,10.25,1.25
2029-01-15,10.25,1.25
2029-01-16,10.25,1.25
2029-01-17,10.25,1.25
2029-01-18,10.25,1.50
2029-01-19,10.25,1.50
2029-01-20,10.25,1.50
2029-01-21,10.25,1.50
2029-01-22,10.25,1.75
2029-01-23,10.25,1.75
2029-01-24,10.25,1.75
2029-01-25,10.25,2.00
2029-01-26,10.25,2.00
2029-01-27,10.25,2.00
2029-01-28,10.25,2.00
2029-01-29,10.25,2.25
2029-01-30,10.25,2.25
2029-01-31,10.25,2.25
2029-02-01,10.25,2.25
2029-02-02,10.00,2.50
2029-02-03,10.00,2.50
2029-02-04,10.00,2.50
2029-02-05,10.00,2.50
2029-02-06,10.00,2.75
2029-02-07,10.00,2.75
2029-02-08,10.00,2.75
2029-02-09,10.00,2.75
2029-02-10,10.00,3.00
2029-02-11,10.00,3.00
2029-02-12,10.00,3.00
2029-02-13,10.00,3.00
2029-02-14,10.00,3.25
2029-02-15,10.00,3.25
2029-02-16,10.00,3.25
2029-02-17,10.00,3.50
2029-02-18,10.00,3.50
2029-02-19,10.00,3.50
2029-02-20,10.00,3.50
2029-02-21,10.00,3.75
2029-02-22,10.00,3.75
2029-02-23,10.00,3.75
2029-02-24,10.00,3.75
2029-02-25,10.00,4.00
2029-02-26,9.75,3.75
2029-02-27,9.75,3.75
2029-02-28,9.75,3.75
2029-03-01,9.75,4.00
2029-03-02,9.75,4.00
2029-03-03,9.75,4.00
2029-03-04,9.75,4.00
2029-03-05,9.75,4.25
2029-03-06,9.75,4.25
2029-03-07,9.75,4.25
2029-03-08,9.75,4.50
2029-03-09,9.75,4.50
2029-03-10,9.75,4.50
2029-03-11,9.75,4.50
2029-03-12,9.75,4.75
2029-03-13,9.75,4.75
2029-03-14,9.75,4.75
2029-03-15,9.75,4.75
2029-03-16,9.50,5.00
2029-03-17,9.25,4.75
2029-03-18,9.25,4.75
2029-03-19,9.25,4.75
2029-03-20,9.25,5.00
2029-03-21,9.25,5.00
2029-03-22,9.25,5.00
2029-03-23,9.25,5.00
2029-03-24,9.25,5.25
2029-03-25,9.25,5.25
2029-03-26,9.25,5.25
2029-03-27,9.25,5.50
2029-03-28,9.25,5.50
2029-03-29,9.25,5.50
2029-03-30,9.25,5.50
2029-03-31,9.25,5.75
2029-04-01,9.25,5.75
2029-04-02,9.00,5.50
2029-04-03,9.00,5.50
2029-04-04,9.00,5.75
2029-04-05,9.00,5.75
2029-04-06,9.00,5.75
2029-04-07,9.00,5.75
2029-04-08,9.00,6.00
2029-04-09,9.00,6.00
2029-04-10,9.00,6.00
2029-04-11,9.00,6.00
2029-04-12,9.00,6.25
2029-04-13,9.00,6.25
2029-04-14,9.00,6.25
2029-04-15,9.00,6.25
2029-04-16,9.00,6.50
2029-04-17,9.00,6.50
2029-04-18,8.75,6.25
2029-04-19,8.75,6.50
2029-04-20,8.75,6.50
2029-04-21,8.75,6.50
2029-04-22,8.75,6.50
2029-04-23,8.75,6.75
2029-04-24,8.75,6.75
2029-04-25,8.50,6.75
2029-04-26,8.50,6.75
2029-04-27,8.50,7.00
2029-04-28,8.50,7.00
2029-04-29,8.50,7.00
2029-04-30,8.50,7.00
2029-05-01,8.50,7.25
2029-05-02,8.50,7.25
2029-05-03,8.50,7.25
2029-05-04,8.50,7.25
2029-05-05,8.50,7.50
2029-05-06,8.50,7.50
2029-05-07,8.25,7.25
2029-05-08,8.25,7.50
2029-05-09,8.25,7.50
2029-05-10,8.25,7.50
2029-05-11,8.25,7.50
2029-05-12,8.25,7.75
2029-05-13,8.25,7.75
2029-05-14,8.25,7.75
2029-05-15,8.25,7.75
2029-05-16,8.25,8.00
2029-05-17,8.25,8.00
2029-05-18,8.25,8.00
2029-05-19,8.25,8.00
2029-05-20,8.25,8.25
2029-05-21,8.25,8.25
2029-05-22,8.00,8.00
2029-05-23,8.00,8.00
2029-05-24,8.00,8.00
2029-05-25,8.00,8.00
2029-05-26,8.00,8.00
2029-05-27,8.00,8.00
2029-05-28,8.00,8.00
2029-05-29,8.00,8.00
