sample,total,A,B,AunionB,A_pct,B_pct,AunionB_pct
SNe Ia (all),13094,8965,8887,10004,68.5,67.9,76.4
SNe Ia (Z<24),3864,2439,2369,2739,63.1,61.3,70.9
CC SNe (all),18774,13420,13364,14803,71.5,71.2,78.8
CC SNe (Z<24),2862,1704,1747,1988,59.5,61.0,69.5
TDE (all),21,11,12,13,52.4,57.1,61.9
TDE (Z<24),7,3,4,4,42.9,57.1,57.1
Ia host (all),12686,8674,8627,9689,68.4,68.0,76.4
Ia host (Z<25.5),10708,7162,7117,8056,66.9,66.5,75.2
CC host (all),18269,13059,13013,14409,71.5,71.2,78.9
CC host (Z<25.5),13773,9748,9732,10803,70.8,70.7,78.4
