id,type,host_Z,visits_needed,visits_done,started,completed
1,Ia,22.899,3,3,1,1
2,Ia,19.487,1,0,0,0
3,Ia,22.099,1,0,0,0
4,Ia,20.560,1,1,1,1
5,Ia,21.973,1,0,0,0
8,Ia,22.891,3,3,1,1
9,Ia,21.061,1,1,1,1
10,Ia,19.802,1,1,1,1
11,Ia,20.485,1,0,0,0
12,Ia,21.901,1,1,1,1
13,Ia,24.180,22,10,1,0
14,Ia,23.394,6,0,0,0
15,Ia,23.708,9,9,1,1
16,Ia,25.207,139,0,0,0
17,Ia,22.565,2,2,1,1
18,Ia,21.459,1,1,1,1
19,Ia,20.761,1,1,1,1
21,Ia,24.247,24,23,1,0
23,Ia,20.354,1,0,0,0
24,Ia,20.407,1,1,1,1
25,Ia,23.878,13,0,0,0
26,Ia,19.995,1,1,1,1
27,Ia,20.386,1,1,1,1
28,Ia,22.166,1,1,1,1
29,Ia,23.813,11,11,1,1
31,Ia,21.809,1,0,0,0
32,Ia,22.122,1,0,0,0
33,Ia,21.299,1,0,0,0
34,Ia,25.059,107,23,1,0
35,Ia,20.914,1,1,1,1
36,Ia,21.985,1,0,0,0
37,Ia,21.375,1,1,1,1
39,Ia,20.985,1,1,1,1
40,Ia,19.952,1,1,1,1
41,Ia,23.963,15,15,1,1
42,Ia,23.715,9,0,0,0
43,Ia,22.780,2,2,1,1
44,Ia,20.375,1,0,0,0
45,Ia,23.605,8,0,0,0
46,Ia,22.524,2,0,0,0
48,Ia,20.576,1,0,0,0
49,Ia,22.590,2,2,1,1
50,Ia,25.496,234,5,1,0
52,Ia,23.085,3,0,0,0
53,Ia,20.681,1,1,1,1
54,Ia,24.057,17,9,1,0
55,Ia,21.722,1,0,0,0
56,Ia,22.107,1,0,0,0
57,Ia,21.769,1,0,0,0
58,Ia,23.303,5,5,1,1
59,Ia,23.846,12,0,0,0
60,Ia,21.183,1,1,1,1
61,Ia,23.726,10,10,1,1
62,Ia,21.497,1,1,1,1
63,Ia,19.456,1,0,0,0
65,Ia,20.417,1,0,0,0
69,Ia,23.780,11,11,1,1
70,Ia,20.669,1,1,1,1
71,Ia,24.220,23,0,0,0
72,Ia,20.752,1,1,1,1
73,Ia,22.031,1,1,1,1
74,Ia,21.410,1,0,0,0
75,Ia,23.170,4,4,1,1
76,Ia,22.212,1,1,1,1
77,Ia,21.114,1,0,0,0
78,Ia,22.165,1,0,0,0
79,Ia,21.583,1,0,0,0
80,Ia,21.199,1,1,1,1
81,Ia,21.813,1,1,1,1
82,Ia,21.869,1,0,0,0
83,Ia,21.426,1,1,1,1
84,Ia,21.313,1,1,1,1
85,Ia,21.857,1,0,0,0
86,Ia,21.179,1,1,1,1
87,Ia,24.369,31,0,0,0
88,Ia,22.260,1,0,0,0
89,Ia,20.772,1,1,1,1
90,Ia,21.096,1,0,0,0
91,Ia,22.266,1,1,1,1
93,Ia,22.585,2,2,1,1
94,Ia,22.152,1,1,1,1
95,Ia,18.876,1,0,0,0
96,Ia,22.839,2,2,1,1
97,Ia,23.946,14,14,1,1
98,Ia,23.278,5,5,1,1
99,Ia,19.876,1,1,1,1
100,Ia,22.781,2,2,1,1
101,Ia,21.850,1,1,1,1
102,Ia,20.510,1,0,0,0
103,Ia,21.176,1,1,1,1
104,Ia,21.849,1,1,1,1
105,Ia,23.535,7,7,1,1
106,Ia,22.378,1,1,1,1
108,Ia,23.514,7,0,0,0
109,Ia,22.201,1,0,0,0
110,Ia,23.176,4,4,1,1
111,Ia,21.466,1,0,0,0
112,Ia,21.465,1,1,1,1
113,Ia,23.327,5,5,1,1
114,Ia,21.539,1,1,1,1
115,Ia,21.518,1,0,0,0
116,Ia,20.684,1,0,0,0
117,Ia,20.477,1,1,1,1
118,Ia,23.510,7,3,1,0
120,Ia,20.523,1,1,1,1
121,Ia,22.266,1,1,1,1
122,Ia,21.128,1,1,1,1
123,Ia,21.482,1,1,1,1
124,Ia,21.831,1,0,0,0
125,Ia,22.751,2,2,1,1
126,Ia,23.796,11,9,1,0
127,Ia,20.000,1,1,1,1
128,Ia,19.644,1,1,1,1
129,Ia,18.766,1,1,1,1
130,Ia,21.796,1,0,0,0
131,Ia,20.905,1,0,0,0
132,Ia,21.673,1,1,1,1
134,Ia,22.899,3,3,1,1
135,Ia,22.707,2,0,0,0
136,Ia,24.227,23,0,0,0
137,Ia,22.273,1,0,0,0
138,Ia,22.478,1,0,0,0
139,Ia,21.689,1,0,0,0
140,Ia,21.411,1,1,1,1
141,Ia,20.490,1,1,1,1
142,Ia,23.854,12,4,1,0
143,Ia,22.877,2,0,0,0
144,Ia,22.607,2,2,1,1
145,Ia,19.564,1,1,1,1
146,Ia,18.388,1,1,1,1
147,Ia,20.623,1,1,1,1
148,Ia,24.604,47,22,1,0
149,Ia,21.432,1,1,1,1
151,Ia,21.259,1,0,0,0
152,Ia,19.952,1,0,0,0
153,Ia,22.924,3,0,0,0
154,Ia,24.036,17,5,1,0
155,Ia,21.665,1,0,0,0
156,Ia,21.051,1,1,1,1
157,Ia,20.754,1,0,0,0
158,Ia,21.567,1,1,1,1
159,Ia,22.345,1,1,1,1
161,Ia,22.650,2,2,1,1
162,Ia,21.366,1,1,1,1
164,Ia,23.379,5,5,1,1
165,Ia,23.264,4,0,0,0
166,Ia,22.092,1,0,0,0
167,Ia,23.113,4,0,0,0
168,Ia,20.459,1,0,0,0
169,Ia,20.376,1,0,0,0
170,Ia,21.881,1,1,1,1
171,Ia,22.251,1,1,1,1
172,Ia,21.815,1,1,1,1
173,Ia,21.857,1,1,1,1
174,Ia,20.826,1,1,1,1
175,Ia,22.721,2,0,0,0
176,Ia,22.955,3,3,1,1
177,Ia,20.521,1,0,0,0
178,Ia,22.922,3,2,1,0
179,Ia,21.342,1,1,1,1
180,Ia,20.021,1,1,1,1
181,Ia,21.925,1,0,0,0
182,Ia,24.217,23,23,1,1
183,Ia,19.747,1,1,1,1
184,Ia,20.576,1,1,1,1
185,Ia,19.232,1,1,1,1
186,Ia,23.442,6,0,0,0
187,Ia,20.261,1,1,1,1
188,Ia,22.229,1,0,0,0
189,Ia,23.511,7,7,1,1
190,Ia,21.935,1,1,1,1
191,Ia,21.865,1,0,0,0
192,Ia,22.073,1,0,0,0
193,Ia,20.615,1,0,0,0
194,Ia,19.730,1,1,1,1
195,Ia,24.259,25,0,0,0
196,Ia,20.272,1,0,0,0
197,Ia,21.123,1,1,1,1
198,Ia,19.974,1,1,1,1
199,Ia,25.130,122,0,0,0
200,Ia,19.967,1,1,1,1
201,Ia,20.374,1,1,1,1
202,Ia,20.389,1,0,0,0
203,Ia,20.633,1,1,1,1
204,Ia,21.573,1,1,1,1
205,Ia,20.705,1,0,0,0
206,Ia,20.195,1,0,0,0
207,Ia,23.644,8,8,1,1
208,Ia,22.175,1,1,1,1
