id,type,z,ra,dec,host_ra,host_dec,host_Z,t1_mjd,t2_mjd,pA_sn,pB_sn,pA_host,pB_host,host_target,host_visits_needed,observed_A,observed_B,observed,host_visits_done,host_started,host_completed
0,Ia,0.85045,245.35463,55.33533,-999.00000,-999.00000,999.000,62454.99,62474.05,-1,-1,-1,-1,0,-1,0,0,0,0,0,0
1,Ia,0.55766,240.29549,55.26354,240.29427,55.26286,22.899,62026.54,62068.72,2,-1,2,-1,1,3,0,0,0,3,1,1
2,Ia,0.28792,240.79051,54.54481,240.79126,54.54537,19.487,62656.13,62666.40,2,2,2,2,1,1,0,0,0,0,0,0
3,Ia,1.05364,243.23677,52.88620,243.24353,52.88464,22.099,62365.34,62365.34,-1,-1,-1,-1,1,1,0,0,0,0,0,0
4,Ia,0.97515,241.78548,55.01215,241.78550,55.01201,20.560,61975.01,62000.81,2,1,2,1,1,1,1,1,1,1,1,1
5,Ia,0.76193,239.20112,54.92831,239.20501,54.92738,21.973,62026.57,62026.57,-1,-1,-1,-1,1,1,0,0,0,0,0,0
6,Ia,0.49861,241.55286,53.06687,-999.00000,-999.00000,999.000,62633.38,62666.39,-1,3,-1,-1,0,-1,0,0,0,0,0,0
7,Ia,1.04401,239.85681,54.74860,239.85632,54.74774,27.600,62602.30,62612.42,-1,2,-1,2,0,-1,0,0,0,0,0,0
8,Ia,0.16169,240.76760,54.38890,240.76771,54.38905,22.891,61932.53,62058.14,3,2,3,2,1,3,1,1,1,3,1,1
9,Ia,0.69178,241.13622,54.29292,241.13775,54.29509,21.061,61963.60,61963.60,3,2,3,2,1,1,0,0,0,1,1,1
10,Ia,0.08923,243.36645,54.36491,243.36676,54.36284,19.802,62191.22,62314.22,0,0,0,0,1,1,1,1,1,1,1,1
11,Ia,0.63426,245.74478,53.82464,245.75680,53.82217,20.485,62047.28,62047.28,-1,-1,-1,-1,1,1,0,0,0,0,0,0
12,Ia,0.89073,244.49422,53.83666,244.49476,53.83654,21.901,62026.58,62036.62,5,-1,5,-1,1,1,0,0,0,1,1,1
13,Ia,0.56178,241.33989,53.99281,241.34056,53.99258,24.180,62323.73,62353.95,3,3,3,3,1,22,1,1,1,10,1,0
14,Ia,0.86705,243.30108,54.61675,243.30070,54.61686,23.394,63053.79,63053.79,0,0,0,0,1,6,0,0,0,0,0,0
15,Ia,0.46983,241.42564,53.19930,241.42535,53.19932,23.708,61923.08,61932.51,-1,3,-1,3,1,9,0,0,0,9,1,1
16,Ia,0.76189,240.95824,52.69338,240.96017,52.69311,25.207,62202.59,62202.59,-1,-1,-1,-1,1,139,0,0,0,0,0,0
17,Ia,0.52477,244.59726,55.29944,244.59589,55.30007,22.565,62314.06,62376.23,6,-1,6,-1,1,2,1,0,1,2,1,1
18,Ia,0.74147,242.93523,56.18385,242.93353,56.18375,21.459,62151.31,62172.43,1,-1,1,-1,1,1,0,0,0,1,1,1
19,Ia,0.43726,242.94904,53.05482,242.94471,53.05083,20.761,62474.02,62533.40,4,4,4,4,1,1,1,0,1,1,1,1
20,Ia,0.94215,240.72996,53.47603,240.73170,53.47574,25.931,62119.88,62129.62,3,3,3,3,0,-1,0,0,0,0,0,0
