visit,mjd,date,config,pointing,sn_Ia,sn_CC,sn_TDE,host_Ia,host_CC,host_TDE,sn_total,host_total,total,spare
0,61939.00,2028-06-17,A,P0,13,12,0,63,43,0,25,106,131,1663
0,61939.00,2028-06-17,A,P1,9,12,0,25,18,0,21,43,64,1730
0,61939.00,2028-06-17,A,P2,9,16,0,29,25,0,25,54,79,1715
0,61939.00,2028-06-17,A,P3,12,17,0,33,18,0,29,51,80,1714
0,61939.00,2028-06-17,A,P4,8,16,0,31,22,0,24,53,77,1717
0,61939.00,2028-06-17,A,P5,12,16,0,34,19,0,28,53,81,1713
0,61939.00,2028-06-17,A,P6,17,11,0,26,18,0,28,44,72,1722
1,61951.00,2028-06-29,B,P0,14,8,0,29,21,0,22,50,72,1722
1,61951.00,2028-06-29,B,P1,11,15,0,21,9,0,26,30,56,1738
1,61951.00,2028-06-29,B,P2,12,18,0,17,10,0,30,27,57,1737
1,61951.00,2028-06-29,B,P3,2,15,0,13,12,0,17,25,42,1752
1,61951.00,2028-06-29,B,P4,11,23,0,19,18,0,34,37,71,1723
1,61951.00,2028-06-29,B,P5,15,12,0,17,12,0,27,29,56,1738
1,61951.00,2028-06-29,B,P6,9,17,1,21,11,0,27,32,59,1735
2,61968.00,2028-07-16,A,P0,13,7,0,24,20,0,20,44,64,1730
2,61968.00,2028-07-16,A,P1,11,18,1,11,11,0,30,22,52,1742
2,61968.00,2028-07-16,A,P2,14,17,0,21,13,0,31,34,65,1729
2,61968.00,2028-07-16,A,P3,8,17,0,14,12,0,25,26,51,1743
2,61968.00,2028-07-16,A,P4,8,19,0,15,16,0,27,31,58,1736
2,61968.00,2028-07-16,A,P5,14,13,0,15,15,0,27,30,57,1737
2,61968.00,2028-07-16,A,P6,8,16,0,21,4,0,24,25,49,1745
3,61980.00,2028-07-28,B,P0,12,5,0,21,15,0,17,36,53,1741
3,61980.00,2028-07-28,B,P1,10,17,0,17,12,0,27,29,56,1738
3,61980.00,2028-07-28,B,P2,9,17,0,21,13,0,26,34,60,1734
3,61980.00,2028-07-28,B,P3,8,18,0,8,10,0,26,18,44,1750
3,61980.00,2028-07-28,B,P4,15,22,0,17,16,0,37,33,70,1724
3,61980.00,2028-07-28,B,P5,7,12,0,17,10,0,19,27,46,1748
3,61980.00,2028-07-28,B,P6,6,16,0,13,13,1,22,27,49,1745
4,61997.00,2028-08-14,A,P0,7,7,0,25,16,0,14,41,55,1739
4,61997.00,2028-08-14,A,P1,11,20,0,11,13,0,31,24,55,1739
4,61997.00,2028-08-14,A,P2,13,13,0,17,13,0,26,30,56,1738
4,61997.00,2028-08-14,A,P3,3,18,0,21,13,0,21,34,55,1739
4,61997.00,2028-08-14,A,P4,12,15,0,19,19,0,27,38,65,1729
4,61997.00,2028-08-14,A,P5,17,11,0,16,17,0,28,33,61,1733
4,61997.00,2028-08-14,A,P6,15,19,0,18,7,0,34,25,59,1735
5,62009.00,2028-08-26,B,P0,6,6,1,20,14,0,13,34,47,1747
5,62009.00,2028-08-26,B,P1,11,11,0,17,11,0,22,28,50,1744
5,62009.00,2028-08-26,B,P2,9,15,0,16,13,0,24,29,53,1741
5,62009.00,2028-08-26,B,P3,9,19,0,11,15,0,28,26,54,1740
5,62009.00,2028-08-26,B,P4,22,21,0,17,23,0,43,40,83,1711
5,62009.00,2028-08-26,B,P5,8,14,0,9,17,0,22,26,48,1746
5,62009.00,2028-08-26,B,P6,13,24,0,12,13,0,37,25,62,1732
6,62174.00,2029-02-07,A,P0,17,13,0,66,42,1,30,109,139,1655
6,62174.00,2029-02-07,A,P1,12,10,0,49,44,0,22,93,115,1679
6,62174.00,2029-02-07,A,P2,8,9,0,69,40,0,17,109,126,1668
6,62174.00,2029-02-07,A,P3,12,9,0,54,51,0,21,105,126,1668
6,62174.00,2029-02-07,A,P4,10,10,0,72,59,0,20,131,151,1643
6,62174.00,2029-02-07,A,P5,13,20,0,64,52,0,33,116,149,1645
6,62174.00,2029-02-07,A,P6,6,18,0,68,50,0,24,118,142,1652
7,62186.00,2029-02-19,B,P0,15,14,0,36,26,1,29,63,92,1702
7,62186.00,2029-02-19,B,P1,8,17,0,38,24,1,25,63,88,1706
7,62186.00,2029-02-19,B,P2,9,7,0,42,34,0,16,76,92,1702
7,62186.00,2029-02-19,B,P3,12,14,0,26,49,0,26,75,101,1693
7,62186.00,2029-02-19,B,P4,11,11,0,36,44,0,22,80,102,1692
7,62186.00,2029-02-19,B,P5,11,12,0,31,45,0,23,76,99,1695
7,62186.00,2029-02-19,B,P6,10,16,0,27,36,0,26,63,89,1705
8,62204.00,2029-03-09,A,P0,13,12,0,32,31,1,25,64,89,1705
8,62204.00,2029-03-09,A,P1,12,12,0,28,28,0,24,56,80,1714
8,62204.00,2029-03-09,A,P2,12,9,0,36,23,0,21,59,80,1714
8,62204.00,2029-03-09,A,P3,10,13,0,29,34,0,23,63,86,1708
8,62204.00,2029-03-09,A,P4,12,12,0,29,38,0,24,67,91,1703
8,62204.00,2029-03-09,A,P5,5,16,0,31,34,0,21,65,86,1708
8,62204.00,2029-03-09,A,P6,12,16,0,25,28,0,28,53,81,1713
9,62216.00,2029-03-21,B,P0,13,13,0,25,24,1,26,50,76,1718
9,62216.00,2029-03-21,B,P1,10,17,0,27,21,1,27,49,76,1718
9,62216.00,2029-03-21,B,P2,12,15,0,28,28,0,27,56,83,1711
9,62216.00,2029-03-21,B,P3,14,14,0,21,43,0,28,64,92,1702
9,62216.00,2029-03-21,B,P4,8,12,0,23,39,0,20,62,82,1712
9,62216.00,2029-03-21,B,P5,13,8,0,23,38,0,21,61,82,1712
9,62216.00,2029-03-21,B,P6,10,21,0,21,30,0,31,51,82,1712
10,62234.00,2029-04-08,A,P0,11,13,0,29,29,1,24,59,83,1711
10,62234.00,2029-04-08,A,P1,11,13,0,29,31,0,24,60,84,1710
10,62234.00,2029-04-08,A,P2,11,10,0,34,22,0,21,56,77,1717
10,62234.00,2029-04-08,A,P3,11,16,0,25,31,0,27,56,83,1711
10,62234.00,2029-04-08,A,P4,7,12,0,31,42,0,19,73,92,1702
10,62234.00,2029-04-08,A,P5,6,19,0,27,30,0,25,57,82,1712
10,62234.00,2029-04-08,A,P6,8,10,0,31,29,0,18,60,78,1716
11,62246.00,2029-04-20,B,P0,12,14,0,24,27,1,26,52,78,1716
11,62246.00,2029-04-20,B,P1,10,9,0,26,22,1,19,49,68,1726
11,62246.00,2029-04-20,B,P2,12,22,0,28,27,0,34,55,89,1705
11,62246.00,2029-04-20,B,P3,8,10,0,22,42,0,18,64,82,1712
11,62246.00,2029-04-20,B,P4,3,17,0,21,36,0,20,57,77,1717
11,62246.00,2029-04-20,B,P5,13,16,0,22,36,0,29,58,87,1707
11,62246.00,2029-04-20,B,P6,11,19,0,21,28,0,30,49,79,1715
12,62264.00,2029-05-08,A,P0,13,8,0,27,34,1,21,62,83,1711
12,62264.00,2029-05-08,A,P1,5,21,0,32,26,0,26,58,84,1710
12,62264.00,2029-05-08,A,P2,15,13,0,25,24,0,28,49,77,1717
12,62264.00,2029-05-08,A,P3,8,17,0,25,36,0,25,61,86,1708
