Source_Name,RA_deg,DEC_deg,Total_flux_mJy,Peak_flux_mJy
ILTJ162320.08+534408.8,245.83368,53.73579,1.2211,0.6040
ILTJ162319.69+534614.8,245.83206,53.77079,0.8844,0.7676
ILTJ162317.88+534329.3,245.82452,53.72483,2.4584,2.0428
ILTJ162312.70+534408.6,245.80292,53.73574,0.6243,0.4401
ILTJ162312.89+534547.4,245.80372,53.76319,0.8011,0.6796
ILTJ162312.11+534432.8,245.80048,53.74245,0.6891,0.6810
ILTJ162305.50+533945.0,245.77292,53.66251,0.7476,0.4617
ILTJ162301.27+534446.8,245.75531,53.74635,1.0337,0.7862
ILTJ162244.29+533846.1,245.68454,53.64614,0.6503,0.6058
ILTJ162243.45+534813.2,245.68104,53.80367,1.5515,1.0901
ILTJ162240.35+533808.5,245.66811,53.63572,0.6689,0.6560
ILTJ162236.78+534402.6,245.65325,53.73408,1.2184,0.6348
ILTJ162234.40+533101.8,245.64334,53.51719,11.0083,8.7606
ILTJ162234.95+534325.7,245.64564,53.72382,218.1349,103.7536
ILTJ162233.15+533202.7,245.63813,53.53410,1.5951,1.3265
ILTJ162230.48+533514.5,245.62699,53.58736,0.6611,0.3399
ILTJ162225.39+534701.1,245.60578,53.78366,0.4516,0.4145
ILTJ162220.97+532919.9,245.58739,53.48887,0.6699,0.4689
ILTJ162218.35+533825.8,245.57645,53.64051,65.5659,21.7351
ILTJ162217.39+532900.2,245.57247,53.48341,0.8629,0.6943
ILTJ162217.15+533953.5,245.57145,53.66488,2.7224,1.8082
ILTJ162214.56+532548.8,245.56067,53.43024,18.3027,10.5253
ILTJ162215.55+534836.8,245.56481,53.81024,1.6696,0.5837
ILTJ162211.66+533017.8,245.54856,53.50496,0.6602,0.6230
ILTJ162208.31+534501.9,245.53463,53.75055,8.7105,5.5170
ILTJ162206.24+533947.8,245.52600,53.66329,0.6880,0.5614
ILTJ162204.65+533459.8,245.51937,53.58330,0.5101,0.4325
ILTJ162204.74+533906.1,245.51976,53.65170,0.8126,0.5743
ILTJ162202.69+533750.9,245.51120,53.63082,9.0022,7.0567
ILTJ162203.76+534656.9,245.51567,53.78249,1.1223,0.4255
ILTJ162201.20+534941.8,245.50499,53.82828,1.1911,0.7648
ILTJ162200.04+534035.2,245.50018,53.67646,0.9491,0.5638
ILTJ162159.76+534305.5,245.49901,53.71822,1.1591,0.8194
ILTJ162158.33+533947.5,245.49304,53.66321,3.2920,1.6888
ILTJ162155.27+532303.1,245.48029,53.38420,1.2488,1.0252
ILTJ162156.67+534656.3,245.48613,53.78233,3.1089,2.1295
ILTJ162154.67+532051.7,245.47780,53.34772,2.7589,2.0238
ILTJ162154.88+533118.4,245.47868,53.52179,1.5629,1.1469
ILTJ162155.84+534554.2,245.48268,53.76507,1.3559,1.0576
ILTJ162153.27+533406.8,245.47197,53.56857,0.9032,0.8162
ILTJ162153.85+534000.2,245.47438,53.66673,0.6129,0.5473
ILTJ162152.89+533557.3,245.47036,53.59927,1.0251,0.7371
ILTJ162151.13+532831.4,245.46305,53.47540,5.7259,4.8003
ILTJ162149.39+532233.3,245.45580,53.37593,2.2090,1.2623
ILTJ162149.86+532625.4,245.45773,53.44040,1.1236,0.6971
ILTJ162148.38+533212.5,245.45157,53.53682,83.6129,28.7968
ILTJ162147.87+532230.6,245.44945,53.37517,0.9478,0.5123
ILTJ162146.89+533544.3,245.44536,53.59564,2.9438,2.2607
ILTJ162147.26+534245.0,245.44691,53.71253,9.6779,8.0714
ILTJ162146.81+534015.0,245.44506,53.67085,1.1112,0.9964
ILTJ162145.13+534105.8,245.43806,53.68496,1.1401,0.6402
ILTJ162144.33+534939.6,245.43472,53.82769,1.5344,1.2476
ILTJ162143.55+534645.2,245.43147,53.77924,0.9505,0.6994
ILTJ162141.17+533827.6,245.42153,53.64102,0.6939,0.4388
ILTJ162141.55+534438.0,245.42314,53.74390,0.7070,0.4180
ILTJ162139.62+532340.5,245.41509,53.39459,0.7680,0.6672
ILTJ162140.08+533541.4,245.41700,53.59484,0.9753,0.6985
ILTJ162140.43+534526.8,245.41847,53.75747,0.5982,0.5360
ILTJ162138.28+534739.5,245.40949,53.79433,6.2535,4.4857
ILTJ162136.88+532538.6,245.40365,53.42739,0.6984,0.5602
ILTJ162137.10+533447.1,245.40459,53.57976,1.1060,1.0179
ILTJ162135.92+532706.8,245.39965,53.45192,1.1604,0.6676
ILTJ162135.37+532718.0,245.39737,53.45502,0.8214,0.6347
ILTJ162134.65+534754.2,245.39439,53.79839,1.2357,0.6836
ILTJ162129.97+531625.2,245.37486,53.27369,28.2073,21.9623
ILTJ162130.79+532924.0,245.37829,53.49001,0.6119,0.5808
ILTJ162128.96+531934.4,245.37065,53.32624,1.0040,0.6684
ILTJ162130.01+533725.7,245.37506,53.62383,0.5447,0.4536
ILTJ162126.84+532126.8,245.36183,53.35745,0.6169,0.5297
ILTJ162126.79+533043.4,245.36161,53.51207,1.9685,1.4501
ILTJ162126.20+534214.1,245.35918,53.70393,2.6001,2.0612
ILTJ162125.01+531905.3,245.35421,53.31815,1.2085,1.0345
ILTJ162126.44+534908.6,245.36015,53.81907,0.5262,0.4089
ILTJ162123.93+534906.6,245.34969,53.81852,1.0929,0.7945
ILTJ162123.21+534630.5,245.34669,53.77515,0.9623,0.6336
ILTJ162120.52+532539.9,245.33549,53.42775,2.4954,1.2163
ILTJ162119.44+531827.4,245.33101,53.30762,61.0671,40.9583
ILTJ162120.96+533639.0,245.33734,53.61084,1.3551,1.1220
ILTJ162120.44+534115.5,245.33517,53.68766,2.3000,1.6952
