# PFS ETC continuum S/N per pixel in g-band; seeing 0.8″, zenith 45°, moon 0, R$_{eff}$=0.3″
mag_AB,exp_num,total_time_min,SN_per_pixel
22.0,1,7.5,0.8479
22.0,2,15.0,1.1984
22.0,3,22.5,1.4673
22.0,4,30.0,1.6938
22.0,6,45.0,2.0733
22.0,8,60.0,2.3921
22.0,12,90.0,2.9260
22.0,16,120.0,3.3722
22.0,24,180.0,4.1171
22.0,32,240.0,4.7339
22.0,48,360.0,5.7586
22.5,1,7.5,0.5439
22.5,2,15.0,0.7690
22.5,3,22.5,0.9416
22.5,4,30.0,1.0869
22.5,6,45.0,1.3299
22.5,8,60.0,1.5347
22.5,12,90.0,1.8762
22.5,16,120.0,2.1624
22.5,24,180.0,2.6393
22.5,32,240.0,3.0350
22.5,48,360.0,3.6877
23.0,1,7.5,0.3470
23.0,2,15.0,0.4905
23.0,3,22.5,0.6004
23.0,4,30.0,0.6931
23.0,6,45.0,0.8483
23.0,8,60.0,0.9787
23.0,12,90.0,1.1964
23.0,16,120.0,1.3788
23.0,24,180.0,1.6824
23.0,32,240.0,1.9356
23.0,48,360.0,2.3512
23.5,1,7.5,0.2205
23.5,2,15.0,0.3116
23.5,3,22.5,0.3815
23.5,4,30.0,0.4404
23.5,6,45.0,0.5390
23.5,8,60.0,0.6217
23.5,12,90.0,0.7600
23.5,16,120.0,0.8761
23.5,24,180.0,1.0686
23.5,32,240.0,1.2293
23.5,48,360.0,1.4926
24.0,1,7.5,0.1397
24.0,2,15.0,0.1975
24.0,3,22.5,0.2418
24.0,4,30.0,0.2791
24.0,6,45.0,0.3415
24.0,8,60.0,0.3940
24.0,12,90.0,0.4816
24.0,16,120.0,0.5552
24.0,24,180.0,0.6772
24.0,32,240.0,0.7790
24.0,48,360.0,0.9458
