# PFS ETC continuum S/N per pixel in i2-band; seeing 0.8″, zenith 45°, moon 0, R$_{eff}$=0.3″
mag_AB,exp_num,total_time_min,SN_per_pixel
22.0,1,7.5,0.9055
22.0,2,15.0,1.2765
22.0,3,22.5,1.5588
22.0,4,30.0,1.7948
22.0,6,45.0,2.1821
22.0,8,60.0,2.5051
22.0,12,90.0,3.0270
22.0,16,120.0,3.4553
22.0,24,180.0,4.1374
22.0,32,240.0,4.6780
22.0,48,360.0,5.5018
22.5,1,7.5,0.5794
22.5,2,15.0,0.8169
22.5,3,22.5,0.9981
22.5,4,30.0,1.1486
22.5,6,45.0,1.3956
22.5,8,60.0,1.6018
22.5,12,90.0,1.9359
22.5,16,120.0,2.2089
22.5,24,180.0,2.6439
22.5,32,240.0,2.9886
22.5,48,360.0,3.5085
23.0,1,7.5,0.3690
23.0,2,15.0,0.5203
23.0,3,22.5,0.6357
23.0,4,30.0,0.7311
23.0,6,45.0,0.8885
23.0,8,60.0,1.0189
23.0,12,90.0,1.2319
23.0,16,120.0,1.4051
23.0,24,180.0,1.6821
23.0,32,240.0,1.9002
23.0,48,360.0,2.2285
23.5,1,7.5,0.2342
23.5,2,15.0,0.3303
23.5,3,22.5,0.4034
23.5,4,30.0,0.4638
23.5,6,45.0,0.5639
23.5,8,60.0,0.6463
23.5,12,90.0,0.7815
23.5,16,120.0,0.8912
23.5,24,180.0,1.0671
23.5,32,240.0,1.2045
23.5,48,360.0,1.4123
24.0,1,7.5,0.1483
24.0,2,15.0,0.2092
24.0,3,22.5,0.2555
24.0,4,30.0,0.2937
24.0,6,45.0,0.3571
24.0,8,60.0,0.4093
24.0,12,90.0,0.4949
24.0,16,120.0,0.5643
24.0,24,180.0,0.6754
24.0,32,240.0,0.7624
24.0,48,360.0,0.8935
